,date,temp,sensedTemp,cover,windDirection,windSpeed,maxWindSpeed,cloudy%,rain,humidity%
0,2021-11-19 05:00:00,6.0,0.0,Przelotne opady,SW,17,24.0,100.0,1.1,88.0
1,2021-11-19 06:00:00,6.0,3.0,Pochmurno,SW,15,22.0,100.0,0.0,87.0
2,2021-11-19 07:00:00,7.0,4.0,Pochmurno,SW,13,17.0,90.0,0.0,85.0
3,2021-11-19 08:00:00,7.0,3.0,Przelotne opady,SW,11,17.0,90.0,0.7,85.0
4,2021-11-19 09:00:00,7.0,4.0,Przelotne opady,SW,11,15.0,90.0,0.7,84.0
5,2021-11-19 10:00:00,8.0,6.0,Pochmurno,SW,11,15.0,90.0,0.0,80.0
6,2021-11-19 11:00:00,8.0,6.0,Pochmurno,SW,11,15.0,90.0,0.0,78.0
7,2021-11-19 12:00:00,8.0,6.0,Pochmurno,WSW,13,17.0,90.0,0.0,76.0
8,2021-11-19 13:00:00,8.0,6.0,Pochmurno,WSW,13,17.0,90.0,0.0,75.0
9,2021-11-19 14:00:00,9.0,7.0,Pochmurno,WSW,13,17.0,90.0,0.0,74.0
10,2021-11-19 15:00:00,9.0,7.0,Pochmurno,WSW,13,17.0,90.0,0.0,73.0
11,2021-11-19 16:00:00,9.0,7.0,Pochmurno,W,13,17.0,90.0,0.0,74.0
12,2021-11-19 17:00:00,10.0,6.0,Przelotne opady,WSW,11,17.0,90.0,0.5,73.0
13,2021-11-19 18:00:00,10.0,8.0,Pochmurno,WSW,11,15.0,90.0,0.0,69.0
14,2021-11-19 19:00:00,9.0,7.0,Pochmurno,WSW,11,15.0,100.0,0.0,71.0
15,2021-11-19 20:00:00,9.0,8.0,Pochmurno,WSW,11,15.0,100.0,0.0,69.0
16,2021-11-19 21:00:00,10.0,8.0,Pochmurno,WSW,9,15.0,100.0,0.0,66.0
17,2021-11-19 22:00:00,9.0,8.0,Pochmurno,WSW,9,13.0,100.0,0.0,64.0
18,2021-11-19 23:00:00,9.0,8.0,Pochmurno,W,11,15.0,100.0,0.0,62.0
19,2021-11-20 00:00:00,10.0,7.0,Pochmurno,W,13,17.0,100.0,0.0,59.0
20,2021-11-20 01:00:00,10.0,7.0,Pochmurno,W,13,18.0,100.0,0.0,57.0
21,2021-11-20 02:00:00,9.0,7.0,Pochmurno,W,15,18.0,100.0,0.0,56.0
22,2021-11-20 03:00:00,9.0,6.0,Pochmurno,W,15,20.0,100.0,0.0,54.0
23,2021-11-20 04:00:00,9.0,6.0,Pochmurno,W,15,20.0,100.0,0.0,53.0
24,2021-11-20 05:00:00,9.0,7.0,Pochmurno,W,13,18.0,100.0,0.0,52.0
25,2021-11-20 06:00:00,9.0,7.0,Pochmurno,WSW,11,18.0,100.0,0.0,52.0
26,2021-11-20 07:00:00,8.0,7.0,Pochmurno,WSW,11,15.0,90.0,0.0,57.0
27,2021-11-20 08:00:00,9.0,7.0,Pochmurno,WSW,11,13.0,90.0,0.0,59.0
28,2021-11-20 09:00:00,9.0,8.0,Pochmurno,WSW,11,13.0,90.0,0.0,62.0
29,2021-11-20 10:00:00,9.0,8.0,Pochmurno,WSW,9,13.0,90.0,0.0,65.0
30,2021-11-20 11:00:00,10.0,9.0,Pochmurno,WSW,9,13.0,90.0,0.0,67.0
31,2021-11-20 12:00:00,10.0,9.0,Pochmurno,SW,9,13.0,90.0,0.0,69.0
32,2021-11-20 13:00:00,10.0,9.0,Pochmurno,SW,9,13.0,90.0,0.0,73.0
33,2021-11-20 14:00:00,10.0,9.0,Pochmurno,SSW,9,13.0,90.0,0.0,77.0
34,2021-11-20 15:00:00,10.0,9.0,Pochmurno,SSW,11,13.0,90.0,0.0,74.0
35,2021-11-20 16:00:00,9.0,8.0,Pochmurno,SSW,11,13.0,90.0,0.0,78.0
36,2021-11-20 17:00:00,9.0,7.0,Pochmurno,SSW,11,15.0,90.0,0.0,81.0
37,2021-11-20 18:00:00,8.0,6.0,Pochmurno,SSW,11,15.0,90.0,0.0,85.0
38,2021-11-20 19:00:00,7.0,5.0,Pochmurno,SSW,11,15.0,100.0,0.0,87.0
39,2021-11-20 20:00:00,7.0,4.0,Zachmurzenie duże,SW,13,17.0,81.0,0.0,88.0
40,2021-11-20 21:00:00,6.0,3.0,Przejściowe zachmurzenie,SW,13,17.0,63.0,0.0,89.0
41,2021-11-20 22:00:00,5.0,2.0,Zachmurzenie umiarkowane,SW,13,18.0,44.0,0.0,90.0
42,2021-11-20 23:00:00,5.0,2.0,Zachmurzenie umiarkowane,SW,15,18.0,41.0,0.0,90.0
43,2021-11-21 00:00:00,5.0,2.0,Zachmurzenie umiarkowane,SW,15,18.0,37.0,0.0,86.0
44,2021-11-21 01:00:00,5.0,2.0,Zachmurzenie umiarkowane,SW,15,20.0,34.0,0.0,86.0
45,2021-11-21 02:00:00,5.0,1.0,Przejściowe zachmurzenie,SW,17,20.0,56.0,0.0,85.0
46,2021-11-21 03:00:00,4.0,0.0,Zachmurzenie duże,SW,17,22.0,77.0,0.0,86.0
47,2021-11-21 04:00:00,4.0,0.0,Pochmurno,SW,17,22.0,99.0,0.0,86.0
48,2021-11-21 05:00:00,4.0,0.0,Pochmurno,SW,17,22.0,99.0,0.0,85.0
49,2021-11-21 06:00:00,4.0,0.0,Pochmurno,SW,15,22.0,99.0,0.0,87.0
50,2021-11-21 07:00:00,4.0,0.0,Pochmurno,SW,15,20.0,90.0,0.0,83.0
51,2021-11-21 08:00:00,5.0,1.0,Zachmurzenie duże,SW,15,18.0,85.0,0.0,86.0
52,2021-11-21 09:00:00,6.0,3.0,Przejściowe zachmurzenie,SW,15,18.0,71.0,0.0,84.0
53,2021-11-21 10:00:00,7.0,5.0,Przejściowe zachmurzenie,SW,15,18.0,70.0,0.0,79.0
54,2021-11-21 11:00:00,8.0,7.0,Przejściowe zachmurzenie,SW,13,18.0,70.0,0.0,70.0
55,2021-11-21 12:00:00,9.0,8.0,Przejściowe zachmurzenie,SW,13,18.0,70.0,0.0,65.0
56,2021-11-21 13:00:00,10.0,9.0,Przejściowe zachmurzenie,WSW,13,17.0,70.0,0.0,63.0
57,2021-11-21 14:00:00,9.0,8.0,Przejściowe zachmurzenie,SW,11,17.0,70.0,0.0,66.0
58,2021-11-21 15:00:00,9.0,8.0,Przejściowe zachmurzenie,SW,11,15.0,70.0,0.0,71.0
59,2021-11-21 16:00:00,8.0,6.0,Przejściowe zachmurzenie,SW,9,13.0,70.0,0.0,79.0
60,2021-11-21 17:00:00,6.0,5.0,Przejściowe zachmurzenie,SW,9,13.0,70.0,0.0,89.0
61,2021-11-21 18:00:00,6.0,5.0,Przejściowe zachmurzenie,SW,7,11.0,70.0,0.0,90.0
62,2021-11-21 19:00:00,6.0,5.0,Przejściowe zachmurzenie,WSW,7,11.0,63.0,0.0,90.0
63,2021-11-21 20:00:00,5.0,4.0,Zachmurzenie duże,W,9,11.0,75.0,0.0,93.0
64,2021-11-21 21:00:00,4.0,3.0,Zachmurzenie duże,WNW,9,13.0,87.0,0.0,93.0
