,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
0,12295,Białystok,2021-11-12,3,5.4,3,260,97.2,0,1020.4
1,12600,"""Bielsko Biała""",2021-11-12,3,3.7,1,140,91.8,0,1025.4
2,12235,Chojnice,2021-11-12,3,7.9,3,270,94.6,0,1021.7
3,12550,Częstochowa,2021-11-12,3,1.8,1,220,97.2,0,1025
4,12160,Elbląg,2021-11-12,3,7,4,240,97.9,0,1020.3
5,12155,Gdańsk,2021-11-12,3,8,2,260,94.0,0,1020
6,12300,Gorzów,2021-11-12,3,6.9,2,250,100.0,0,1023.1
7,12135,Hel,2021-11-12,3,9.2,4,290,89.0,0.01,1019.8
8,12500,"""Jelenia Góra""",2021-11-12,3,-2.8,0,0,97.8,0,1026.1
9,12435,Kalisz,2021-11-12,3,2.6,2,220,99.3,0,1023.8
10,12650,"""Kasprowy Wierch""",2021-11-12,3,6.6,1,290,53.5,0,
11,12560,Katowice,2021-11-12,2,0,2,200,95.0,0,1025.9
12,12185,Kętrzyn,2021-11-12,3,7.2,4,270,95.3,0,1019.2
13,12570,Kielce,2021-11-12,3,-0.8,1,140,97.8,0,1025.1
14,12520,Kłodzko,2021-11-12,2,3.5,1,200,87.9,0,1025.4
15,12345,Koło,2021-11-12,2,5.6,3,240,91.9,0,1022.7
16,12100,Kołobrzeg,2021-11-12,3,9.4,4,260,98.0,0,1021.5
17,12105,Koszalin,2021-11-12,3,9,3,270,94.0,0.01,1021.2
18,12488,Kozienice,2021-11-12,3,2.7,2,240,97.2,0,1023.1
19,12566,Kraków,2021-11-12,3,2.9,2,220,97.9,0,1025.6
20,12670,Krosno,2021-11-12,3,3.3,2,320,91.1,0,1025.5
21,12415,Legnica,2021-11-12,3,-2.3,2,220,97.8,0,1025
22,12690,Lesko,2021-11-12,3,0.4,2,160,95.7,0,1025.9
23,12418,Leszno,2021-11-12,3,3.9,2,230,97.9,0,1023.9
24,12125,Lębork,2021-11-12,2,8.8,3,260,96.0,0.01,1020
25,12495,Lublin,2021-11-12,3,1.8,2,260,95.8,0,1023.6
26,12120,Łeba,2021-11-12,3,9.2,4,280,90.8,0,1020.2
27,12465,Łódź,2021-11-12,3,2.1,1,210,100.0,0,1023.8
28,12280,Mikołajki,2021-11-12,3,6.7,4,240,95.2,0,1019.8
29,12270,Mława,2021-11-12,3,5.6,3,250,100.0,0,1021.5
30,12660,"""Nowy Sącz""",2021-11-12,3,0.6,0,0,100.7,0,1026.4
31,12272,Olsztyn,2021-11-12,3,6.6,3,230,100.0,0,1020.4
32,12530,Opole,2021-11-12,3,-1.4,1,90,97.1,0,1025.4
33,12285,Ostrołęka,2021-11-12,2,5.6,2,99,95.2,0,1020.8
34,12230,Piła,2021-11-12,3,7.5,1,240,100.0,0,1022.5
35,12001,Platforma,2021-11-12,3,7.3,9,280,85.8,0,1018.8
36,12360,Płock,2021-11-12,3,5.7,2,250,95.9,0,1022.3
37,12330,Poznań,2021-11-12,3,5.9,2,260,99.3,0,1023.2
38,12695,Przemyśl,2021-11-12,3,4.6,4,99,81.3,0,1024.7
39,12540,Racibórz,2021-11-12,2,2.8,1,140,95.1,0,1025.3
40,12210,Resko,2021-11-12,3,8.6,3,260,94.0,0,1022.1
41,12580,Rzeszów,2021-11-12,3,1.4,2,220,95.1,0,1024.9
42,12585,Sandomierz,2021-11-12,3,0.4,2,230,97.1,0.01,1024.4
43,12385,Siedlce,2021-11-12,3,3.9,2,260,97.2,0,1021.9
44,12310,Słubice,2021-11-12,2,6.1,2,200,95.9,0,1023.6
45,12469,Sulejów,2021-11-12,3,1.5,2,270,100.0,0,1024.2
46,12195,Suwałki,2021-11-12,3,7,4,260,95.9,0,1018.4
47,12205,Szczecin,2021-11-12,3,8.3,3,230,98.0,0,1022.5
48,12215,Szczecinek,2021-11-12,3,8.1,2,99,,0,1021.6
49,12510,Śnieżka,2021-11-12,3,6.9,7,290,22.6,0,
50,12200,Świnoujście,2021-11-12,3,7.3,3,230,97.9,0.01,1022.1
51,12575,Tarnów,2021-11-12,3,0.9,0,0,93.7,0,1025.4
52,12399,Terespol,2021-11-12,3,3.7,2,250,97.2,0,1021.4
53,12250,Toruń,2021-11-12,3,6.9,1,230,99.3,0,1022
54,12115,Ustka,2021-11-12,3,9.8,6,300,82.5,0,1020.5
55,12375,Warszawa,2021-11-12,3,4.7,3,260,97.9,0,1022.4
56,12455,Wieluń,2021-11-12,3,0.9,1,240,100.0,0,1024.5
57,12497,Włodawa,2021-11-12,3,2.2,3,260,95.8,0,1022.3
58,12424,Wrocław,2021-11-12,3,-2.2,1,270,97.1,0,1025
59,12625,Zakopane,2021-11-12,3,-0.8,0,0,97.1,0,
60,12595,Zamość,2021-11-12,3,2.3,5,250,93.7,0,1023.9
61,12400,"""Zielona Góra""",2021-11-12,3,4.4,2,270,97.2,0.1,1023.9
