,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
0,12295,Białystok,2021-11-22,13,2.6,1,290,87.8,1.7,1019
1,12600,"""Bielsko Biała""",2021-11-22,13,4.3,0,0,97.2,0,1019.7
2,12235,Chojnice,2021-11-22,13,4.3,1,360,79.0,0.7,1020.6
3,12550,Częstochowa,2021-11-22,13,5,4,310,88.0,0.4,1019.6
4,12160,Elbląg,2021-11-22,13,3.6,0,0,61.8,2.1,1019.9
5,12155,Gdańsk,2021-11-22,13,3.3,1,30,77.7,1.5,1020.1
6,12300,Gorzów,2021-11-22,13,5,5,350,74.6,0.3,1022.8
7,12135,Hel,2021-11-22,13,4.1,0,0,95.2,2.5,1020.3
8,12500,"""Jelenia Góra""",2021-11-22,13,4.5,2,330,88.6,0.9,1021.8
9,12435,Kalisz,2021-11-22,13,4.7,4,320,88.0,1.3,1020.6
10,12650,"""Kasprowy Wierch""",2021-11-22,13,-4.3,1,340,97.0,0,
11,12560,Katowice,2021-11-22,13,6.1,1,330,85.1,0.01,1019.2
12,12185,Kętrzyn,2021-11-22,13,2.3,2,310,84.0,2.4,1019.5
13,12570,Kielce,2021-11-22,13,5.1,2,360,85.6,1.1,1018.7
14,12520,Kłodzko,2021-11-22,13,5.4,3,20,82.0,0.1,1020.7
15,12345,Koło,2021-11-22,13,5.6,2,320,73.6,0.4,1020.2
16,12100,Kołobrzeg,2021-11-22,13,5.6,8,360,69.0,4,1022.1
17,12105,Koszalin,2021-11-22,13,3.3,4,340,91.1,6.3,1021.7
18,12488,Kozienice,2021-11-22,13,5.7,2,30,80.9,0.2,1018.3
19,12566,Kraków,2021-11-22,13,5.8,2,360,90.6,0,1019
20,12670,Krosno,2021-11-22,13,5.4,2,320,95.9,0.1,1017.5
21,12415,Legnica,2021-11-22,13,5.9,3,350,80.9,1.1,1021.7
22,12690,Lesko,2021-11-22,13,5.3,2,310,91.9,0.01,1017.1
23,12418,Leszno,2021-11-22,13,6.1,5,340,75.9,0.9,1021.6
24,12125,Lębork,2021-11-22,13,1.7,2,360,97.9,1.7,1020.8
25,12495,Lublin,2021-11-22,13,4.9,2,50,86.2,0.6,1018.1
26,12120,Łeba,2021-11-22,13,3.4,1,130,91.1,0.4,1020.9
27,12465,Łódź,2021-11-22,13,5.9,2,350,85.0,0.2,1019.5
28,12280,Mikołajki,2021-11-22,13,3.7,1,350,81.8,2.1,1019.4
29,12270,Mława,2021-11-22,13,4.1,3,30,86.7,0.1,1019.3
30,12660,"""Nowy Sącz""",2021-11-22,13,6.2,2,340,93.2,0.01,1017.9
31,12272,Olsztyn,2021-11-22,13,3.7,2,10,73.8,1,1019.6
32,12530,Opole,2021-11-22,13,6.3,1,310,90.0,0.4,1020
33,12285,Ostrołęka,2021-11-22,13,4.7,3,99,82.5,1,1019
34,12230,Piła,2021-11-22,13,5.8,2,290,70.5,1.2,1021.1
35,12001,Platforma,2021-11-22,13,3,6,340,61.7,0,1020.2
36,12360,Płock,2021-11-22,13,4.9,2,330,80.8,0.1,1019.5
37,12330,Poznań,2021-11-22,13,5.6,5,320,72.6,0.1,1021.4
38,12695,Przemyśl,2021-11-22,13,5.8,1,99,93.2,0,1017.3
39,12540,Racibórz,2021-11-22,13,6.4,5,340,88.1,0.01,1019.5
40,12210,Resko,2021-11-22,13,3.2,3,300,89.2,2.1,1022.4
41,12580,Rzeszów,2021-11-22,13,6.4,3,360,90.7,0.01,1017.5
42,12585,Sandomierz,2021-11-22,13,6.3,3,350,82.1,0.5,1017.9
43,12385,Siedlce,2021-11-22,13,4.8,2,350,83.7,0.2,1018.7
44,12310,Słubice,2021-11-22,13,5.4,4,330,72.5,0.1,1023.4
45,12469,Sulejów,2021-11-22,13,5.8,2,320,85.0,1,1019.1
46,12195,Suwałki,2021-11-22,13,1.4,1,20,56.8,1.5,1019.6
47,12205,Szczecin,2021-11-22,13,4.5,3,320,67.8,0.01,1023.2
48,12215,Szczecinek,2021-11-22,13,4.4,2,99,89.9,2.4,1020.9
49,12510,Śnieżka,2021-11-22,13,-4.6,14,350,97.7,0.6,
50,12200,Świnoujście,2021-11-22,13,5.5,9,330,63.6,1.8,1023.3
51,12575,Tarnów,2021-11-22,13,6.4,1,350,93.9,0.01,1018
52,12399,Terespol,2021-11-22,13,5.2,1,40,69.9,0.2,1018.2
53,12250,Toruń,2021-11-22,13,5.3,3,310,76.8,0.4,1020.1
54,12115,Ustka,2021-11-22,13,4.3,1,120,79.0,4.1,1021.2
55,12375,Warszawa,2021-11-22,13,5.8,2,340,82.0,0.1,1018.9
56,12455,Wieluń,2021-11-22,13,5.5,3,350,90.0,3.1,1020
57,12497,Włodawa,2021-11-22,13,4.8,2,20,79.6,1,1018
58,12424,Wrocław,2021-11-22,13,5.8,3,350,90.6,1.3,1021.1
59,12625,Zakopane,2021-11-22,13,2.6,1,170,91.1,0.01,
60,12595,Zamość,2021-11-22,13,4.9,3,20,93.8,0.5,1017.5
61,12400,"""Zielona Góra""",2021-11-22,13,4.9,3,340,68.8,0.6,1022.4
