,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
0,12295,Białystok,2021-11-22,15,1.6,2,20,95.8,1.7,1019.9
1,12600,"""Bielsko Biała""",2021-11-22,15,4.2,1,200,93.8,0,1020.8
2,12235,Chojnice,2021-11-22,15,1.9,1,300,93.7,0.7,1021.8
3,12550,Częstochowa,2021-11-22,15,4.5,4,320,89.9,0.4,1020.9
4,12160,Elbląg,2021-11-22,15,2.3,1,360,78.7,2.1,1020.8
5,12155,Gdańsk,2021-11-22,15,2.9,1,270,84.7,1.5,1020.6
6,12300,Gorzów,2021-11-22,15,4.6,3,310,64.8,0.3,1023.7
7,12135,Hel,2021-11-22,15,2,2,260,95.1,2.5,1020.7
8,12500,"""Jelenia Góra""",2021-11-22,15,3.5,2,350,86.6,0.9,1023.5
9,12435,Kalisz,2021-11-22,15,3.7,3,310,84.8,1.3,1021.8
10,12650,"""Kasprowy Wierch""",2021-11-22,15,-4.6,2,320,96.3,0,
11,12560,Katowice,2021-11-22,15,5.4,1,350,85.6,0.01,1020.6
12,12185,Kętrzyn,2021-11-22,15,1,2,290,85.8,2.4,1020.2
13,12570,Kielce,2021-11-22,15,4.2,1,330,88.0,1.1,1019.8
14,12520,Kłodzko,2021-11-22,15,4.2,1,20,88.0,0.1,1022.2
15,12345,Koło,2021-11-22,14,5.1,3,300,68.9,0.4,1020.6
16,12100,Kołobrzeg,2021-11-22,15,5.3,6,330,64.5,4,1022.8
17,12105,Koszalin,2021-11-22,15,3.3,1,10,91.8,6.3,1022.5
18,12488,Kozienice,2021-11-22,15,5.1,1,320,85.0,0.2,1019.4
19,12566,Kraków,2021-11-22,15,5.5,2,270,91.9,0,1020.3
20,12670,Krosno,2021-11-22,15,4.9,2,330,95.2,0.1,1018.6
21,12415,Legnica,2021-11-22,14,5.7,3,330,78.0,1.1,1022.3
22,12690,Lesko,2021-11-22,15,4.5,1,340,93.2,0.01,1018.3
23,12418,Leszno,2021-11-22,15,5.3,4,320,69.9,0.9,1022.9
24,12125,Lębork,2021-11-22,15,2.2,2,260,97.9,1.7,1021.4
25,12495,Lublin,2021-11-22,15,3.6,1,50,89.8,0.6,1019.1
26,12120,Łeba,2021-11-22,15,3.7,3,330,70.7,0.4,1021.3
27,12465,Łódź,2021-11-22,15,4.3,2,310,93.1,0.2,1020.7
28,12280,Mikołajki,2021-11-22,15,2.1,3,290,89.7,2.1,1020
29,12270,Mława,2021-11-22,15,2.7,2,360,87.2,0.1,1020.3
30,12660,"""Nowy Sącz""",2021-11-22,15,5,2,310,95.9,0.01,1019.5
31,12272,Olsztyn,2021-11-22,15,1.2,1,350,91.0,1,1020.6
32,12530,Opole,2021-11-22,15,5.9,3,360,90.0,0.4,1021.2
33,12285,Ostrołęka,2021-11-22,14,4.1,2,99,86.1,1,1019.5
34,12230,Piła,2021-11-22,15,4,3,280,83.6,1.2,1022
35,12001,Platforma,2021-11-22,15,2.9,6,300,51.7,0,1020.3
36,12360,Płock,2021-11-22,15,3.6,2,310,80.6,0.1,1020.3
37,12330,Poznań,2021-11-22,15,4.7,3,300,76.8,0.1,1022.3
38,12695,Przemyśl,2021-11-22,15,5.7,1,99,93.9,0,1018.3
39,12540,Racibórz,2021-11-22,15,6,3,350,86.9,0.01,1020.8
40,12210,Resko,2021-11-22,15,3.1,3,320,82.9,2.1,1023.2
41,12580,Rzeszów,2021-11-22,15,5.8,2,320,93.2,0.01,1018.6
42,12585,Sandomierz,2021-11-22,15,5.3,2,340,83.8,0.5,1019
43,12385,Siedlce,2021-11-22,15,3.7,1,360,87.9,0.2,1019.4
44,12310,Słubice,2021-11-22,15,3,4,330,66.0,0.1,1024.4
45,12469,Sulejów,2021-11-22,15,5.2,3,280,88.7,1,1020.1
46,12195,Suwałki,2021-11-22,15,-0.8,2,40,73.0,1.5,1020.1
47,12205,Szczecin,2021-11-22,15,5.1,4,320,58.6,0.01,1023.8
48,12215,Szczecinek,2021-11-22,15,3.1,4,99,99.3,2.4,1021.8
49,12510,Śnieżka,2021-11-22,15,-5.1,14,340,97.7,0.6,
50,12200,Świnoujście,2021-11-22,15,4.6,6,330,63.0,1.8,1024
51,12575,Tarnów,2021-11-22,15,6,1,320,95.2,0.01,1019.2
52,12399,Terespol,2021-11-22,15,2.7,3,10,89.1,0.2,1019.4
53,12250,Toruń,2021-11-22,15,3,1,340,86.0,0.4,1020.9
54,12115,Ustka,2021-11-22,15,4.8,7,340,63.9,4.1,1021.9
55,12375,Warszawa,2021-11-22,15,3.1,3,330,82.9,0.1,1019.8
56,12455,Wieluń,2021-11-22,15,4.9,3,340,89.9,3.1,1021.2
57,12497,Włodawa,2021-11-22,15,3.4,2,340,86.0,1,1019
58,12424,Wrocław,2021-11-22,15,5.6,2,340,82.6,1.3,1022.5
59,12625,Zakopane,2021-11-22,15,1.8,1,120,93.0,0.01,
60,12595,Zamość,2021-11-22,15,4.1,2,360,91.8,0.5,1018.8
61,12400,"""Zielona Góra""",2021-11-22,15,4.4,2,320,71.8,0.6,1023.5
