,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
0,12295,Białystok,2021-11-12,23,2.9,1,180,99.3,0,1024
1,12600,"""Bielsko Biała""",2021-11-12,23,1.5,3,80,100.0,0,1021.5
2,12235,Chojnice,2021-11-12,23,5.8,4,160,93.2,0.01,1019.5
3,12550,Częstochowa,2021-11-12,23,3.1,2,120,95.1,0,1021.2
4,12160,Elbląg,2021-11-12,23,3.7,2,150,97.9,0.01,1021.4
5,12155,Gdańsk,2021-11-12,23,4.6,3,120,95.8,0,1020.5
6,12300,Gorzów,2021-11-12,23,5.3,4,170,90.0,0.01,1017.4
7,12135,Hel,2021-11-12,23,7.1,3,160,95.9,0.2,1020.6
8,12500,"""Jelenia Góra""",2021-11-12,23,-1.7,0,0,97.8,0.01,1018.6
9,12435,Kalisz,2021-11-12,23,4,4,110,93.1,0.2,1019.8
10,12650,"""Kasprowy Wierch""",2021-11-12,23,7.1,9,170,32.7,0,
11,12560,Katowice,2021-11-12,22,4,3,90,93.1,0,1021.7
12,12185,Kętrzyn,2021-11-12,23,1.3,2,90,97.1,0.01,1022.3
13,12570,Kielce,2021-11-12,23,2.8,3,130,97.9,0,1022.4
14,12520,Kłodzko,2021-11-12,23,2.4,1,250,91.0,0,1019.9
15,12345,Koło,2021-11-12,22,5.7,5,150,91.9,0,1020.5
16,12100,Kołobrzeg,2021-11-12,23,6.7,5,150,92.6,0.01,1016.7
17,12105,Koszalin,2021-11-12,23,5.9,3,150,91.9,0.6,1017.5
18,12488,Kozienice,2021-11-12,23,5.2,2,160,97.9,0.01,1022.5
19,12566,Kraków,2021-11-12,23,4.7,3,70,93.8,0,1021.9
20,12670,Krosno,2021-11-12,23,2.3,2,120,99.3,0,1022.8
21,12415,Legnica,2021-11-12,23,3.8,3,100,91.1,0,1017.8
22,12690,Lesko,2021-11-12,23,0,2,140,97.1,0,1023.5
23,12418,Leszno,2021-11-12,23,5.7,4,140,88.1,0,1018.2
24,12125,Lębork,2021-11-12,23,4.1,2,90,100.7,2.1,1019.5
25,12495,Lublin,2021-11-12,23,4.4,3,160,99.3,0.1,1023.1
26,12120,Łeba,2021-11-12,23,4.2,2,120,100.0,0.8,1019.4
27,12465,Łódź,2021-11-12,23,4.2,3,130,100.0,0.01,1021.2
28,12280,Mikołajki,2021-11-12,23,3,2,170,99.3,0,1022.8
29,12270,Mława,2021-11-12,23,4.7,2,100,100.0,0.1,1022
30,12660,"""Nowy Sącz""",2021-11-12,23,3.7,1,200,95.8,0,1022.1
31,12272,Olsztyn,2021-11-12,23,3.2,2,130,100.0,0,1022.2
32,12530,Opole,2021-11-12,23,4.2,2,130,91.8,0,1019.4
33,12285,Ostrołęka,2021-11-12,22,5,1,99,97.9,0,1023
34,12230,Piła,2021-11-12,23,6.3,3,130,95.2,0,1018.6
35,12001,Platforma,2021-11-12,23,7,5,140,87.0,0,1020.1
36,12360,Płock,2021-11-12,23,5.9,3,150,95.2,0.1,1021.2
37,12330,Poznań,2021-11-12,23,5.1,5,140,86.8,0.01,1018.9
38,12695,Przemyśl,2021-11-12,23,2.5,1,99,98.6,0,1023.7
39,12540,Racibórz,2021-11-12,22,4.1,3,140,91.8,0,1020.8
40,12210,Resko,2021-11-12,23,7.5,3,150,88.9,0,1016.6
41,12580,Rzeszów,2021-11-12,23,3.1,5,100,97.2,0,1023
42,12585,Sandomierz,2021-11-12,23,2.9,3,110,97.9,0,1022.8
43,12385,Siedlce,2021-11-12,23,5.3,2,110,97.9,0.01,1023.3
44,12310,Słubice,2021-11-12,22,4.9,4,150,89.9,0.6,1017
45,12469,Sulejów,2021-11-12,23,3.8,3,140,100.7,0,1021.5
46,12195,Suwałki,2021-11-12,23,-1.1,1,40,97.1,0.01,1023.6
47,12205,Szczecin,2021-11-12,23,7.3,5,150,84.0,0.01,1016.3
48,12215,Szczecinek,2021-11-12,23,6.3,4,150,,0.4,1018.3
49,12510,Śnieżka,2021-11-12,23,6.2,12,200,60.5,0,
50,12200,Świnoujście,2021-11-12,23,7.8,3,180,81.7,0.1,1016
51,12575,Tarnów,2021-11-12,23,4,1,130,93.8,0,1022.2
52,12399,Terespol,2021-11-12,23,4.5,2,130,97.9,0.01,1024.2
53,12250,Toruń,2021-11-12,23,7.1,2,130,95.9,0.01,1020.2
54,12115,Ustka,2021-11-12,23,5,3,140,91.9,2.4,1018.4
55,12375,Warszawa,2021-11-12,23,5.6,3,120,97.9,0.01,1022.1
56,12455,Wieluń,2021-11-12,22,4.4,3,150,93.2,0,1020.8
57,12497,Włodawa,2021-11-12,23,5.3,3,150,97.9,0.01,1023.7
58,12424,Wrocław,2021-11-12,23,5.1,5,130,88.0,0,1018.2
59,12625,Zakopane,2021-11-12,23,0.1,1,140,97.1,0,
60,12595,Zamość,2021-11-12,23,5,3,120,97.9,0,1023.6
61,12400,"""Zielona Góra""",2021-11-12,23,4.1,3,160,91.8,0.01,1017.8
