,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
0,12295,Białystok,2021-11-16,0,2.5,2,120,89.7,0.01,1034.3
1,12600,"""Bielsko Biała""",2021-11-15,23,3.5,2,210,99.3,0.01,1029.8
2,12235,Chojnice,2021-11-16,0,4,2,130,97.2,0,1030.3
3,12550,Częstochowa,2021-11-15,23,4.7,2,140,88.0,0,1029.9
4,12160,Elbląg,2021-11-16,0,2.8,3,120,93.7,0.01,1031.5
5,12155,Gdańsk,2021-11-16,0,4.5,3,130,89.9,0.01,1031
6,12300,Gorzów,2021-11-16,0,4.7,2,100,95.2,0,1028.2
7,12135,Hel,2021-11-16,0,5.6,3,170,85.6,0,1031.2
8,12500,"""Jelenia Góra""",2021-11-16,0,-0.5,0,0,99.3,0.2,1028.1
9,12435,Kalisz,2021-11-16,0,6.1,2,130,88.1,0.1,1029
10,12650,"""Kasprowy Wierch""",2021-11-16,0,4.5,6,110,22.7,0,
11,12560,Katowice,2021-11-15,23,5.1,1,110,88.7,0.01,1029.7
12,12185,Kętrzyn,2021-11-16,0,3.7,3,140,89.2,0.01,1032.5
13,12570,Kielce,2021-11-16,0,4.5,3,110,91.2,0.01,1030.3
14,12520,Kłodzko,2021-11-15,23,3.1,1,170,97.9,0,1029.1
15,12345,Koło,2021-11-15,23,5.4,4,110,87.4,0,1030.4
16,12100,Kołobrzeg,2021-11-16,0,5,1,150,84.9,0.01,1029.3
17,12105,Koszalin,2021-11-16,0,4.7,1,110,89.9,0,1029.7
18,12488,Kozienice,2021-11-16,0,3.1,2,110,95.8,0.01,1031.6
19,12566,Kraków,2021-11-16,0,5.7,1,120,88.1,0,1029.6
20,12670,Krosno,2021-11-16,0,1.6,5,100,95.8,0,1030.8
21,12415,Legnica,2021-11-16,0,5.1,4,110,91.9,0,1027.8
22,12690,Lesko,2021-11-16,0,0,2,130,97.8,0,1032
23,12418,Leszno,2021-11-16,0,5.9,3,130,88.7,0.01,1028.4
24,12125,Lębork,2021-11-16,0,5,1,120,91.2,0,1030.3
25,12495,Lublin,2021-11-16,0,3.1,4,120,95.1,0,1032
26,12120,Łeba,2021-11-16,0,4.9,0,0,91.9,0,1030.6
27,12465,Łódź,2021-11-15,23,6.2,3,120,88.1,0.01,1030
28,12280,Mikołajki,2021-11-16,0,3.8,3,130,89.2,0.01,1032.9
29,12270,Mława,2021-11-16,0,3.2,3,110,91.1,0,1031.8
30,12660,"""Nowy Sącz""",2021-11-16,0,2.1,1,90,100.0,0,1030.2
31,12272,Olsztyn,2021-11-16,0,3.4,2,110,91.8,0.01,1032.1
32,12530,Opole,2021-11-16,0,5.6,2,140,90.0,0,1028.9
33,12285,Ostrołęka,2021-11-16,0,4.6,3,110,81.9,0,1032.6
34,12230,Piła,2021-11-16,0,5.3,2,100,95.2,0,1029.1
35,12001,Platforma,2021-11-16,0,5.3,4,170,72.5,0,1030.6
36,12360,Płock,2021-11-16,0,4.3,3,100,91.2,0.01,1030.9
37,12330,Poznań,2021-11-16,0,5.8,2,130,90.0,0.01,1028.9
38,12695,Przemyśl,2021-11-16,0,4,1,99,93.8,0,1031.9
39,12540,Racibórz,2021-11-16,0,5.3,2,170,91.9,0,1029.3
40,12210,Resko,2021-11-16,0,4.8,1,90,84.9,0,1029
41,12580,Rzeszów,2021-11-16,0,2.6,3,80,95.1,0.01,1031
42,12585,Sandomierz,2021-11-15,23,4.5,3,110,91.2,0,1031.1
43,12385,Siedlce,2021-11-16,0,3.8,3,100,89.2,0.01,1032.7
44,12310,Słubice,2021-11-16,0,5.4,2,130,86.8,0.1,1027.6
45,12469,Sulejów,2021-11-16,0,5.8,3,120,88.1,0.01,1029.9
46,12195,Suwałki,2021-11-16,0,2.2,2,140,91.0,0.01,1034
47,12205,Szczecin,2021-11-16,0,4.8,2,90,91.9,0,1028.4
48,12215,Szczecinek,2021-11-16,0,4.4,2,120,,0,1029.5
49,12510,Śnieżka,2021-11-16,0,0.5,16,200,100.0,0.2,
50,12200,Świnoujście,2021-11-16,0,5,2,120,88.0,0,1028.8
51,12575,Tarnów,2021-11-16,0,-0.6,1,50,92.9,0,1030.5
52,12399,Terespol,2021-11-16,0,3.7,3,110,87.9,0,1034
53,12250,Toruń,2021-11-16,0,5,3,110,97.2,0,1030.3
54,12115,Ustka,2021-11-16,0,5.2,1,130,80.8,0,1030.2
55,12375,Warszawa,2021-11-16,0,2.4,3,100,93.7,0.01,1031.8
56,12455,Wieluń,2021-11-16,0,5.1,2,170,88.7,0.1,1029.4
57,12497,Włodawa,2021-11-16,0,4.5,3,110,88.0,0,1033.5
58,12424,Wrocław,2021-11-16,0,5.7,5,150,90.0,0.01,1028.2
59,12625,Zakopane,2021-11-16,0,-2.6,1,190,97.8,0,
60,12595,Zamość,2021-11-16,0,2.9,3,100,93.7,0,1032.7
61,12400,"""Zielona Góra""",2021-11-16,0,4.4,4,130,95.8,0.2,1027.8
