,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
0,12295,Białystok,2021-11-07,16,8.1,3,240,66.5,0.01,1008
1,12600,"""Bielsko Biała""",2021-11-07,16,9.2,3,250,57.8,0,1014.6
2,12235,Chojnice,2021-11-07,16,6.1,4,240,93.2,0,1006
3,12550,Częstochowa,2021-11-07,16,8,3,210,62.8,0,1012.9
4,12160,Elbląg,2021-11-07,16,6.7,8,220,92.0,1.6,1004.1
5,12155,Gdańsk,2021-11-07,16,8.3,6,240,87.1,0.01,1003.7
6,12300,Gorzów,2021-11-07,16,6.1,3,240,93.9,0.2,1009.4
7,12135,Hel,2021-11-07,16,8,6,250,94.0,0.3,1003.1
8,12500,"""Jelenia Góra""",2021-11-07,16,6.7,6,260,76.0,0,1013.6
9,12435,Kalisz,2021-11-07,16,7.1,6,210,87.6,0.01,1011
10,12650,"""Kasprowy Wierch""",2021-11-07,16,0.3,9,280,48.6,0,
11,12560,Katowice,2021-11-07,16,8.7,6,220,54.8,0,1013.9
12,12185,Kętrzyn,2021-11-07,16,7,7,230,88.8,0.01,1004.6
13,12570,Kielce,2021-11-07,16,9.1,4,240,58.6,0.01,1012.6
14,12520,Kłodzko,2021-11-07,16,6.2,4,240,78.6,0,1015.1
15,12345,Koło,2021-11-07,16,8,6,230,74.6,0.3,1009.1
16,12100,Kołobrzeg,2021-11-07,16,8.7,4,240,79.6,1.7,1005.3
17,12105,Koszalin,2021-11-07,16,8.3,4,240,84.1,1.3,1005.1
18,12488,Kozienice,2021-11-07,16,10,5,250,55.6,0,1011
19,12566,Kraków,2021-11-07,16,8.7,2,220,66.6,0,1014
20,12670,Krosno,2021-11-07,16,6.9,5,190,79.9,0,1014.9
21,12415,Legnica,2021-11-07,16,8.5,4,240,72.6,0.01,1012.4
22,12690,Lesko,2021-11-07,16,6.2,3,180,75.9,0,1015.9
23,12418,Leszno,2021-11-07,16,7.8,7,230,81.7,0,1011
24,12125,Lębork,2021-11-07,16,8.2,5,250,92.7,2,1003.2
25,12495,Lublin,2021-11-07,16,7.4,3,220,69.8,0,1011.7
26,12120,Łeba,2021-11-07,16,8.2,9,280,87.7,0.1,1002.9
27,12465,Łódź,2021-11-07,16,7.6,4,230,80.0,0,1011.1
28,12280,Mikołajki,2021-11-07,16,6.7,5,210,90.1,0.7,1005.9
29,12270,Mława,2021-11-07,16,6.8,5,230,87.6,0.2,1007.6
30,12660,"""Nowy Sącz""",2021-11-07,16,10,2,180,58.4,0,1014.2
31,12272,Olsztyn,2021-11-07,16,7.2,4,220,88.8,0.4,1005.6
32,12530,Opole,2021-11-07,16,9.2,4,250,63.5,0,1013.4
33,12285,Ostrołęka,2021-11-07,16,7,6,230,84.0,0.1,1007.9
34,12230,Piła,2021-11-07,16,6.5,2,220,92.6,0,1007.5
35,12001,Platforma,2021-11-07,16,8.1,12,270,82.9,0,1000.5
36,12360,Płock,2021-11-07,16,7,5,230,84.0,0,1008.6
37,12330,Poznań,2021-11-07,16,8.1,6,250,80.6,0.2,1009.3
38,12695,Przemyśl,2021-11-07,16,8.5,3,99,66.1,0,1014.4
39,12540,Racibórz,2021-11-07,16,8,6,230,65.6,0,1014.3
40,12210,Resko,2021-11-07,16,7,5,220,82.8,0.2,1006.6
41,12580,Rzeszów,2021-11-07,16,8.6,6,190,69.5,0,1013.5
42,12585,Sandomierz,2021-11-07,16,7.7,4,200,72.9,0,1012.6
43,12385,Siedlce,2021-11-07,16,9,6,250,61.7,0,1009.8
44,12310,Słubice,2021-11-07,16,7.4,3,240,81.7,0.01,1010.4
45,12469,Sulejów,2021-11-07,16,8.5,7,220,65.7,0,1011.6
46,12195,Suwałki,2021-11-07,16,5.5,7,230,91.9,0.8,1005.5
47,12205,Szczecin,2021-11-07,16,7.5,4,230,84.0,0.01,1007.7
48,12215,Szczecinek,2021-11-07,16,7.2,3,99,95.3,0.2,1006
49,12510,Śnieżka,2021-11-07,16,-2.8,16,260,100.0,0,
50,12200,Świnoujście,2021-11-07,16,8.4,3,220,77.9,0.5,1006.3
51,12575,Tarnów,2021-11-07,16,10.8,1,250,53.8,0,1013.5
52,12399,Terespol,2021-11-07,16,8.6,4,200,62.5,0,1010.1
53,12250,Toruń,2021-11-07,16,8,3,220,87.7,0.4,1007.4
54,12115,Ustka,2021-11-07,16,9.3,6,260,80.8,0.1,1003.5
55,12375,Warszawa,2021-11-07,16,8.2,4,230,71.5,0,1009.8
56,12455,Wieluń,2021-11-07,16,7.5,4,240,75.0,0,1012.2
57,12497,Włodawa,2021-11-07,16,7.2,6,200,69.8,0,1011.4
58,12424,Wrocław,2021-11-07,16,7.7,6,240,74.5,0,1012.6
59,12625,Zakopane,2021-11-07,16,5.4,0,0,63.6,0,
60,12595,Zamość,2021-11-07,16,8,5,210,73.0,0,1012.9
61,12400,"""Zielona Góra""",2021-11-07,16,6.8,3,250,86.9,0.2,1010.9
