,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
0,12295,Białystok,2021-11-15,0,3.8,2,70,91.1,0,1032.3
1,12600,"""Bielsko Biała""",2021-11-15,0,4.2,2,40,99.3,0.1,1028.2
2,12235,Chojnice,2021-11-15,0,3.9,3,80,89.9,0.01,1032
3,12550,Częstochowa,2021-11-15,0,3.1,2,40,93.8,0,1029.7
4,12160,Elbląg,2021-11-15,0,3.8,3,60,93.8,0,1033
5,12155,Gdańsk,2021-11-15,0,5.9,4,90,80.9,0,1032.7
6,12300,Gorzów,2021-11-15,0,5.5,3,80,88.7,0.3,1030.5
7,12135,Hel,2021-11-15,0,6.7,5,120,77.6,0,1032.9
8,12500,"""Jelenia Góra""",2021-11-15,0,3.9,2,100,89.9,0,1029.2
9,12435,Kalisz,2021-11-15,0,4.3,2,30,97.2,0,1030.1
10,12650,"""Kasprowy Wierch""",2021-11-15,0,3.9,4,190,55.6,0,
11,12560,Katowice,2021-11-15,0,5,2,60,88.0,0.01,1028.7
12,12185,Kętrzyn,2021-11-15,0,4.2,2,50,93.8,0.01,1032.9
13,12570,Kielce,2021-11-15,0,4,0,0,87.9,0.01,1029.7
14,12520,Kłodzko,2021-11-15,0,3,2,30,95.8,0,1029.1
15,12345,Koło,2021-11-15,0,4.2,4,70,86.1,0,1030.8
16,12100,Kołobrzeg,2021-11-15,0,7.1,2,80,73.9,0,1031.3
17,12105,Koszalin,2021-11-15,0,6.6,2,120,78.7,0.01,1031.6
18,12488,Kozienice,2021-11-15,0,3.1,2,80,95.1,0.01,1030.7
19,12566,Kraków,2021-11-15,0,4.8,4,30,93.8,0,1029.1
20,12670,Krosno,2021-11-15,0,4.3,1,40,88.6,0,1029
21,12415,Legnica,2021-11-15,0,3.2,1,70,95.8,0,1029.9
22,12690,Lesko,2021-11-15,0,3.5,2,50,91.8,0,1029
23,12418,Leszno,2021-11-15,0,4.8,3,70,93.8,0,1030.1
24,12125,Lębork,2021-11-15,0,6.1,2,110,83.9,0,1032.4
25,12495,Lublin,2021-11-15,0,2.4,1,50,93.7,0,1030.7
26,12120,Łeba,2021-11-15,0,6.8,4,100,79.9,0.01,1032.4
27,12465,Łódź,2021-11-15,0,3.6,4,80,97.9,0,1030.2
28,12280,Mikołajki,2021-11-15,0,4.1,3,40,95.2,0.01,1032.8
29,12270,Mława,2021-11-15,0,4.2,3,60,91.2,0.01,1031.6
30,12660,"""Nowy Sącz""",2021-11-15,0,5.1,1,360,93.2,0,1028.9
31,12272,Olsztyn,2021-11-15,0,4.7,4,80,88.0,0.01,1032.4
32,12530,Opole,2021-11-15,0,4.2,2,360,91.8,0,1029.2
33,12285,Ostrołęka,2021-11-15,0,4.5,3,99,81.3,0,1032
34,12230,Piła,2021-11-15,0,5.3,3,70,88.1,0,1031.3
35,12001,Platforma,2021-11-15,0,5.4,7,100,72.5,0,1033.5
36,12360,Płock,2021-11-15,0,4.4,3,80,93.8,0,1030.8
37,12330,Poznań,2021-11-15,0,5.2,5,90,82.6,0,1030.7
38,12695,Przemyśl,2021-11-15,0,3.6,2,99,96.5,0,1029.5
39,12540,Racibórz,2021-11-15,0,5.3,3,10,86.8,0,1028.3
40,12210,Resko,2021-11-15,0,6.3,2,90,79.8,0,1031.2
41,12580,Rzeszów,2021-11-15,0,3.9,3,30,89.2,0,1029.6
42,12585,Sandomierz,2021-11-15,0,3.6,2,30,87.9,0.01,1029.9
43,12385,Siedlce,2021-11-15,0,4.4,3,80,97.9,0.01,1030.9
44,12310,Słubice,2021-11-15,0,5.1,2,60,85.0,0.01,1030
45,12469,Sulejów,2021-11-15,0,3.5,1,20,95.1,0.01,1030
46,12195,Suwałki,2021-11-15,0,1.9,3,70,97.2,0.01,1033.7
47,12205,Szczecin,2021-11-15,0,6.8,3,80,79.9,0,1030.9
48,12215,Szczecinek,2021-11-15,0,4.7,2,70,100.0,0,1031.8
49,12510,Śnieżka,2021-11-15,0,4.3,1,190,61.9,0.2,
50,12200,Świnoujście,2021-11-15,0,7.6,4,110,74.0,0,1031.1
51,12575,Tarnów,2021-11-15,0,4.7,2,70,86.1,0,1029.5
52,12399,Terespol,2021-11-15,0,4.5,3,70,91.8,0,1031
53,12250,Toruń,2021-11-15,0,5.2,2,80,85.0,0,1031.3
54,12115,Ustka,2021-11-15,0,6.7,2,100,77.6,0,1032
55,12375,Warszawa,2021-11-15,0,4.4,2,30,95.8,0,1030.6
56,12455,Wieluń,2021-11-15,0,3.6,2,70,97.9,0,1029.8
57,12497,Włodawa,2021-11-15,0,4.5,3,50,93.2,0,1030.6
58,12424,Wrocław,2021-11-15,0,3.6,1,340,91.1,0,1029.6
59,12625,Zakopane,2021-11-15,0,0,1,310,99.3,0,
60,12595,Zamość,2021-11-15,0,3.3,2,360,97.2,0.01,1030.1
61,12400,"""Zielona Góra""",2021-11-15,0,3.5,2,60,99.3,0.01,1029.9
