,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
0,12295,Białystok,2021-11-11,8,1.7,1,210,99.3,0,1023.6
1,12600,"""Bielsko Biała""",2021-11-11,8,5.3,1,360,82.0,0,1026.1
2,12235,Chojnice,2021-11-11,8,1.1,3,210,97.8,0,1023.3
3,12550,Częstochowa,2021-11-11,8,6.7,2,200,79.9,0,1024.9
4,12160,Elbląg,2021-11-11,8,3.5,5,220,95.1,0,1022.1
5,12155,Gdańsk,2021-11-11,8,5.5,2,190,93.2,0,1021.5
6,12300,Gorzów,2021-11-11,8,0.9,0,0,100.0,0,1024.1
7,12135,Hel,2021-11-11,8,8,3,230,94.0,0.01,1021.4
8,12500,"""Jelenia Góra""",2021-11-11,8,0.3,1,130,97.8,0,1026
9,12435,Kalisz,2021-11-11,8,3.9,2,190,89.9,0,1024.6
10,12650,"""Kasprowy Wierch""",2021-11-11,8,10.1,7,270,45.6,0,
11,12560,Katowice,2021-11-11,8,6.1,2,210,82.1,0,1025.8
12,12185,Kętrzyn,2021-11-11,8,2.7,2,210,95.8,0,1022.4
13,12570,Kielce,2021-11-11,8,1.1,0,0,93.0,0,1026.5
14,12520,Kłodzko,2021-11-11,8,3.4,1,330,91.1,0,1026.2
15,12345,Koło,2021-11-11,7,1.9,2,210,91.0,0,1024.7
16,12100,Kołobrzeg,2021-11-11,8,6.7,4,190,100.0,0,1022
17,12105,Koszalin,2021-11-11,8,5.5,3,200,97.9,0.01,1022.2
18,12488,Kozienice,2021-11-11,8,5.7,3,240,79.7,0,1024.9
19,12566,Kraków,2021-11-11,8,2,0,0,97.2,0,1026.8
20,12670,Krosno,2021-11-11,8,6.5,5,190,75.9,0,1027.4
21,12415,Legnica,2021-11-11,8,1.1,1,220,95.7,0,1025.2
22,12690,Lesko,2021-11-11,8,8.2,3,180,59.7,0,1027.6
23,12418,Leszno,2021-11-11,8,-1.1,0,0,97.8,0,1024.9
24,12125,Lębork,2021-11-11,8,6.8,1,240,99.3,0.01,1021.5
25,12495,Lublin,2021-11-11,8,4.1,2,220,83.6,0,1026
26,12120,Łeba,2021-11-11,8,6.8,3,220,99.3,0,1021.3
27,12465,Łódź,2021-11-11,8,3.8,1,99,97.9,0,1025
28,12280,Mikołajki,2021-11-11,8,2,3,200,99.3,0,1022.8
29,12270,Mława,2021-11-11,8,1.2,3,240,100.0,0,1024
30,12660,"""Nowy Sącz""",2021-11-11,8,4.7,1,160,80.7,0,1026.9
31,12272,Olsztyn,2021-11-11,8,2.8,2,220,100.0,0,1022.9
32,12530,Opole,2021-11-11,8,4.1,2,190,83.6,0,1025.2
33,12285,Ostrołęka,2021-11-11,8,1.6,3,99,97.9,0,1024
34,12230,Piła,2021-11-11,8,1.1,1,210,100.0,0,1023.6
35,12001,Platforma,2021-11-11,8,7.9,6,230,,0,1019.8
36,12360,Płock,2021-11-11,8,2.8,2,220,95.8,0,1024
37,12330,Poznań,2021-11-11,8,2.6,2,230,97.9,0,1024.3
38,12695,Przemyśl,2021-11-11,8,8.5,2,99,58.5,0,1026.5
39,12540,Racibórz,2021-11-11,8,7.7,5,220,77.8,0,1025.5
40,12210,Resko,2021-11-11,8,4.6,2,180,95.8,0,1022.9
41,12580,Rzeszów,2021-11-11,8,7.6,5,200,69.9,0,1026.5
42,12585,Sandomierz,2021-11-11,8,3.2,2,200,86.0,0.01,1026.4
43,12385,Siedlce,2021-11-11,8,3.9,2,240,87.9,0,1024.8
44,12310,Słubice,2021-11-11,8,2,1,160,95.8,0,1024.4
45,12469,Sulejów,2021-11-11,8,3.6,1,140,93.8,0,1025.2
46,12195,Suwałki,2021-11-11,8,1.3,2,220,99.3,0,1022.9
47,12205,Szczecin,2021-11-11,8,2.6,3,230,97.2,0,1023.3
48,12215,Szczecinek,2021-11-11,8,1.6,1,99,,0,1023.4
49,12510,Śnieżka,2021-11-11,8,8,3,250,34.5,0,
50,12200,Świnoujście,2021-11-11,8,7.3,4,210,97.9,0.01,1022.2
51,12575,Tarnów,2021-11-11,8,6.3,1,170,73.8,0,1026.3
52,12399,Terespol,2021-11-11,8,3.4,1,230,93.8,0,1025
53,12250,Toruń,2021-11-11,8,1.9,1,230,99.3,0,1023.8
54,12115,Ustka,2021-11-11,8,6.5,5,200,95.2,0,1021.3
55,12375,Warszawa,2021-11-11,8,3,1,140,97.2,0,1024.6
56,12455,Wieluń,2021-11-11,8,6.6,1,220,82.7,0,1024.9
57,12497,Włodawa,2021-11-11,8,4.6,4,230,84.9,0,1025.6
58,12424,Wrocław,2021-11-11,8,2.6,1,240,87.2,0,1025
59,12625,Zakopane,2021-11-11,8,3.3,0,0,78.8,0,
60,12595,Zamość,2021-11-11,8,6.2,1,190,80.9,0,1026.4
61,12400,"""Zielona Góra""",2021-11-11,8,4.8,3,240,86.8,0.1,1024.5
