,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
0,12295,Białystok,2021-11-08,7,6.6,4,250,85.7,0.6,1011
1,12600,"""Bielsko Biała""",2021-11-08,7,5.7,5,240,79.7,1.1,1019.8
2,12235,Chojnice,2021-11-08,7,6.8,3,260,97.3,1,1013.1
3,12550,Częstochowa,2021-11-08,7,5.9,2,220,79.7,0.01,1018
4,12160,Elbląg,2021-11-08,7,5.8,5,240,97.2,3.3,1011.1
5,12155,Gdańsk,2021-11-08,7,6.8,3,260,93.9,0.7,1011.1
6,12300,Gorzów,2021-11-08,7,7.7,2,270,95.9,2.4,1015.7
7,12135,Hel,2021-11-08,7,7.7,4,20,94.0,8.3,1011.3
8,12500,"""Jelenia Góra""",2021-11-08,7,6.4,5,300,85.7,0.01,1018.9
9,12435,Kalisz,2021-11-08,7,6.4,5,250,92.0,0.1,1016.2
10,12650,"""Kasprowy Wierch""",2021-11-08,7,-5.3,5,310,94.1,0.1,
11,12560,Katowice,2021-11-08,7,6.4,3,230,77.6,0.1,1019.3
12,12185,Kętrzyn,2021-11-08,7,6.6,7,260,92.0,0.3,1009.7
13,12570,Kielce,2021-11-08,7,4,2,220,93.8,0.1,1017.9
14,12520,Kłodzko,2021-11-08,7,5.9,5,270,80.9,0.01,1019.7
15,12345,Koło,2021-11-08,7,6.7,5,260,89.4,0.6,1014.7
16,12100,Kołobrzeg,2021-11-08,7,9.1,6,300,92.7,2.8,1013.5
17,12105,Koszalin,2021-11-08,7,8.4,1,280,90.8,4.4,1013.1
18,12488,Kozienice,2021-11-08,7,7.3,5,250,78.8,0.1,1015.3
19,12566,Kraków,2021-11-08,7,6.2,5,230,86.9,0.2,1019.3
20,12670,Krosno,2021-11-08,7,5.8,1,260,80.9,0.01,1018.9
21,12415,Legnica,2021-11-08,7,7.4,5,260,85.8,0.01,1017.9
22,12690,Lesko,2021-11-08,7,5.9,1,10,85.0,0.3,1019.1
23,12418,Leszno,2021-11-08,7,6.6,5,250,93.9,0.01,1016.7
24,12125,Lębork,2021-11-08,7,7.7,3,270,100.0,16.7,1011.7
25,12495,Lublin,2021-11-08,7,4.9,4,270,89.9,1.1,1016
26,12120,Łeba,2021-11-08,7,7.6,4,40,94.6,10.5,1012.1
27,12465,Łódź,2021-11-08,7,6.4,5,240,95.9,0.8,1015.8
28,12280,Mikołajki,2021-11-08,7,6.9,6,250,88.8,0.1,1010.1
29,12270,Mława,2021-11-08,7,6.3,4,260,95.2,0.7,1012.7
30,12660,"""Nowy Sącz""",2021-11-08,7,4,1,220,89.9,0.01,1019.5
31,12272,Olsztyn,2021-11-08,7,6.7,4,240,95.9,0.8,1011
32,12530,Opole,2021-11-08,7,7.5,2,240,74.0,0.01,1018.6
33,12285,Ostrołęka,2021-11-08,7,6.9,4,240,85.1,0.5,1011.9
34,12230,Piła,2021-11-08,7,7.3,2,250,97.9,1.6,1014.2
35,12001,Platforma,2021-11-08,7,5.7,10,10,69.0,0,1012
36,12360,Płock,2021-11-08,7,7.1,6,270,88.8,0.7,1013.7
37,12330,Poznań,2021-11-08,7,6.7,5,260,95.9,0.9,1015.4
38,12695,Przemyśl,2021-11-08,7,6.4,2,99,81.5,0.3,1018.4
39,12540,Racibórz,2021-11-08,7,4.9,3,260,88.0,0.01,1019.8
40,12210,Resko,2021-11-08,7,7.2,3,250,95.3,1.2,1014.1
41,12580,Rzeszów,2021-11-08,7,6.2,4,240,83.9,0.9,1018
42,12585,Sandomierz,2021-11-08,7,5.3,4,240,85.6,0.01,1017.2
43,12385,Siedlce,2021-11-08,7,6.2,4,240,93.2,0.5,1013.8
44,12310,Słubice,2021-11-08,7,7.7,4,260,92.7,4.5,1016.8
45,12469,Sulejów,2021-11-08,7,6,4,220,90.0,0.3,1016.6
46,12195,Suwałki,2021-11-08,7,6,6,250,93.9,1.4,1008.2
47,12205,Szczecin,2021-11-08,7,8.2,2,240,96.0,2.3,1015.2
48,12215,Szczecinek,2021-11-08,7,7.3,2,99,,2,1013.5
49,12510,Śnieżka,2021-11-08,7,-2.4,18,290,100.0,0,
50,12200,Świnoujście,2021-11-08,7,7.9,3,240,94.0,2.5,1014.4
51,12575,Tarnów,2021-11-08,7,7,1,300,76.0,0.01,1018.5
52,12399,Terespol,2021-11-08,7,6.8,3,250,87.6,0.1,1013.3
53,12250,Toruń,2021-11-08,7,6.9,3,230,99.3,0.3,1013.4
54,12115,Ustka,2021-11-08,7,9.1,6,10,89.6,14.5,1012.1
55,12375,Warszawa,2021-11-08,7,7,4,250,87.0,0.3,1014.4
56,12455,Wieluń,2021-11-08,7,6.6,3,260,85.1,0.3,1017.3
57,12497,Włodawa,2021-11-08,7,6.3,5,250,85.7,0.6,1014.8
58,12424,Wrocław,2021-11-08,7,7.4,5,280,85.8,0.01,1017.9
59,12625,Zakopane,2021-11-08,7,2.6,1,270,82.8,0,
60,12595,Zamość,2021-11-08,7,5.7,8,260,88.1,0.01,1016.6
61,12400,"""Zielona Góra""",2021-11-08,7,6.1,3,270,97.9,0.2,1017
