,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
0,12295,Białystok,2021-11-21,22,4.7,1,350,88.6,0.9,1010.3
1,12600,"""Bielsko Biała""",2021-11-21,22,5.7,2,270,85.0,0.4,1013
2,12235,Chojnice,2021-11-21,22,4.3,2,10,95.8,2.7,1012.8
3,12550,Częstochowa,2021-11-21,22,5.1,1,260,86.8,0.01,1012.6
4,12160,Elbląg,2021-11-21,22,4.1,1,330,93.1,3.7,1011.8
5,12155,Gdańsk,2021-11-21,22,6.9,3,360,67.7,0.01,1011.9
6,12300,Gorzów,2021-11-21,22,4.7,1,330,97.9,0.01,1012.9
7,12135,Hel,2021-11-21,22,5.8,3,350,72.6,1.4,1012.4
8,12500,"""Jelenia Góra""",2021-11-21,22,4.7,0,0,97.2,0.01,1013.4
9,12435,Kalisz,2021-11-21,22,6.5,2,290,97.9,0.2,1012.2
10,12650,"""Kasprowy Wierch""",2021-11-21,22,0,3,260,51.7,0.2,
11,12560,Katowice,2021-11-21,22,5.6,1,220,88.1,0.8,1012.9
12,12185,Kętrzyn,2021-11-21,22,4.2,2,300,95.2,0.5,1010.7
13,12570,Kielce,2021-11-21,22,6.2,2,290,85.1,0.3,1012
14,12520,Kłodzko,2021-11-21,22,3.9,1,350,91.1,0,1013.9
15,12345,Koło,2021-11-21,22,6.3,2,300,89.4,0,1011.8
16,12100,Kołobrzeg,2021-11-21,22,6.5,5,70,82.7,0,1013.7
17,12105,Koszalin,2021-11-21,22,5.4,2,30,86.8,0.3,1013.6
18,12488,Kozienice,2021-11-21,22,6.7,2,280,92.6,0.4,1011.1
19,12566,Kraków,2021-11-21,22,6.4,2,230,86.9,0.01,1012.9
20,12670,Krosno,2021-11-21,22,5.5,1,240,88.7,0,1012.9
21,12415,Legnica,2021-11-21,22,6.2,2,280,95.9,0.01,1013
22,12690,Lesko,2021-11-21,22,6,1,240,83.8,0,1012.6
23,12418,Leszno,2021-11-21,22,6.8,1,300,95.9,0,1012.7
24,12125,Lębork,2021-11-21,22,3.6,1,320,89.8,2.3,1012.9
25,12495,Lublin,2021-11-21,22,6.1,3,280,95.2,0.4,1011.3
26,12120,Łeba,2021-11-21,22,5.9,4,30,71.6,0.5,1013.1
27,12465,Łódź,2021-11-21,22,6.5,2,290,100.0,0.1,1011.9
28,12280,Mikołajki,2021-11-21,22,4,2,290,93.8,0.2,1010.7
29,12270,Mława,2021-11-21,22,5.2,2,310,93.9,0.3,1011.3
30,12660,"""Nowy Sącz""",2021-11-21,22,5.8,0,0,88.1,0.01,1012.8
31,12272,Olsztyn,2021-11-21,22,4.1,1,300,97.2,0.1,1011.2
32,12530,Opole,2021-11-21,22,5.9,1,300,90.0,0.01,1012.9
33,12285,Ostrołęka,2021-11-21,22,5,1,99,93.8,0,1010.7
34,12230,Piła,2021-11-21,22,1.9,1,270,99.3,0.4,1012.6
35,12001,Platforma,2021-11-21,22,4.5,8,10,68.8,0,1012.7
36,12360,Płock,2021-11-21,22,4.9,2,310,93.8,0.01,1011.6
37,12330,Poznań,2021-11-21,22,5.6,2,290,95.9,0.01,1012.5
38,12695,Przemyśl,2021-11-21,22,7.2,3,99,80.5,0,1012.2
39,12540,Racibórz,2021-11-21,22,5.7,1,290,85.6,0.01,1013
40,12210,Resko,2021-11-21,22,4.5,3,350,95.2,0.6,1013.3
41,12580,Rzeszów,2021-11-21,22,5.8,2,220,91.9,0,1012.4
42,12585,Sandomierz,2021-11-21,22,7.1,1,260,81.6,0.01,1011.6
43,12385,Siedlce,2021-11-21,22,5.9,2,290,95.2,0.1,1010.8
44,12310,Słubice,2021-11-21,22,5.7,1,290,93.9,0,1013.2
45,12469,Sulejów,2021-11-21,22,6,2,260,97.9,0.01,1012
46,12195,Suwałki,2021-11-21,22,2,3,300,95.1,2.9,1010.3
47,12205,Szczecin,2021-11-21,22,6.1,2,340,90.0,0.01,1013.3
48,12215,Szczecinek,2021-11-21,22,4.6,2,99,,1.4,1012.8
49,12510,Śnieżka,2021-11-21,22,-2.1,8,330,100.0,0.1,
50,12200,Świnoujście,2021-11-21,22,7.1,10,30,79.9,0.4,1014.2
51,12575,Tarnów,2021-11-21,22,7,0,0,85.7,0,1012.5
52,12399,Terespol,2021-11-21,22,6.2,2,270,93.9,0,1010.2
53,12250,Toruń,2021-11-21,22,4.4,1,290,99.3,0.1,1011.9
54,12115,Ustka,2021-11-21,22,6.7,8,40,71.7,0.9,1013.2
55,12375,Warszawa,2021-11-21,22,6.1,3,280,93.9,0.2,1011.1
56,12455,Wieluń,2021-11-21,22,5.8,2,270,99.3,0.3,1012.3
57,12497,Włodawa,2021-11-21,22,6.6,4,250,93.9,0.01,1010.2
58,12424,Wrocław,2021-11-21,22,6.3,2,260,95.9,0.01,1012.8
59,12625,Zakopane,2021-11-21,22,3.4,1,180,82.9,0,
60,12595,Zamość,2021-11-21,22,6.6,5,250,85.1,0,1011.4
61,12400,"""Zielona Góra""",2021-11-21,22,6.2,1,320,95.9,0.2,1013
