,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
0,12295,Białystok,2021-11-09,14,0,1,240,83.8,1,1034
1,12600,"""Bielsko Biała""",2021-11-09,14,7.3,1,270,84.0,2.3,1033.1
2,12235,Chojnice,2021-11-09,14,6.4,4,190,85.7,0.5,1030.4
3,12550,Częstochowa,2021-11-09,14,7.4,1,160,77.7,1.9,1032.7
4,12160,Elbląg,2021-11-09,14,4.3,5,180,70.8,5.5,1031.1
5,12155,Gdańsk,2021-11-09,14,5.9,6,170,75.8,3.8,1030.1
6,12300,Gorzów,2021-11-09,14,10,2,180,84.9,3.8,1029.9
7,12135,Hel,2021-11-09,14,6.4,5,190,75.9,2.3,1029.9
8,12500,"""Jelenia Góra""",2021-11-09,14,9.5,4,130,57.5,0.01,1030.5
9,12435,Kalisz,2021-11-09,14,8,2,140,81.7,3.1,1032.1
10,12650,"""Kasprowy Wierch""",2021-11-09,14,-2.9,6,210,96.3,2,
11,12560,Katowice,2021-11-09,14,7.9,2,220,82.9,0.9,1032.9
12,12185,Kętrzyn,2021-11-09,14,0.2,4,190,97.8,4,1033
13,12570,Kielce,2021-11-09,14,6,1,220,79.8,1,1033.4
14,12520,Kłodzko,2021-11-09,14,9.9,1,120,63.6,0.01,1030.9
15,12345,Koło,2021-11-09,13,5.1,4,180,86.8,3.4,1032.6
16,12100,Kołobrzeg,2021-11-09,14,8.7,4,180,89.6,1.5,1028.1
17,12105,Koszalin,2021-11-09,14,7.8,3,170,88.9,0.5,1028.7
18,12488,Kozienice,2021-11-09,14,3.2,1,320,82.9,1.2,1034
19,12566,Kraków,2021-11-09,14,8.8,3,200,83.0,0.6,1033
20,12670,Krosno,2021-11-09,14,6.3,1,340,90.0,0.3,1033.2
21,12415,Legnica,2021-11-09,14,10.1,1,80,72.8,0.1,1031
22,12690,Lesko,2021-11-09,14,5.9,2,20,91.9,0.6,1033.1
23,12418,Leszno,2021-11-09,14,9.6,1,170,76.9,0.1,1031.2
24,12125,Lębork,2021-11-09,14,7.4,4,170,78.8,0.7,1028.9
25,12495,Lublin,2021-11-09,14,3.7,1,30,76.0,0.9,1034.1
26,12120,Łeba,2021-11-09,14,7,6,190,81.0,0.2,1028.6
27,12465,Łódź,2021-11-09,13,5.9,1,220,82.1,1.1,1033
28,12280,Mikołajki,2021-11-09,14,-0.6,4,170,99.3,5.1,1033.7
29,12270,Mława,2021-11-09,14,2.7,3,130,82.9,0.9,1033.3
30,12660,"""Nowy Sącz""",2021-11-09,14,8.5,3,250,72.6,0.5,1032.8
31,12272,Olsztyn,2021-11-09,14,4.6,2,170,70.8,2.3,1032.2
32,12530,Opole,2021-11-09,14,9.4,2,160,78.5,1,1032.3
33,12285,Ostrołęka,2021-11-09,13,-0.6,2,99,95.7,4.5,1034
34,12230,Piła,2021-11-09,14,7.8,1,170,92.7,4,1030.3
35,12001,Platforma,2021-11-09,14,6.3,12,190,73.8,0,1027.5
36,12360,Płock,2021-11-09,14,6.3,2,180,69.6,1.5,1032.5
37,12330,Poznań,2021-11-09,14,8.3,2,170,92.7,4.6,1031.1
38,12695,Przemyśl,2021-11-09,14,5.8,1,270,80.9,0.1,1033.4
39,12540,Racibórz,2021-11-09,14,8.3,1,100,82.9,0.6,1032.7
40,12210,Resko,2021-11-09,14,8.5,2,160,87.7,2.9,1028.6
41,12580,Rzeszów,2021-11-09,14,7.3,2,10,71.8,1.2,1033.2
42,12585,Sandomierz,2021-11-09,14,5.1,2,320,73.5,0.01,1033.7
43,12385,Siedlce,2021-11-09,14,1.3,1,30,91.0,2.1,1034.5
44,12310,Słubice,2021-11-09,14,11,3,190,65.7,0.1,1029.6
45,12469,Sulejów,2021-11-09,14,5.5,2,200,86.8,0.6,1033.3
46,12195,Suwałki,2021-11-09,14,2.4,3,210,69.9,1.5,1033.1
47,12205,Szczecin,2021-11-09,14,10.1,3,220,84.9,6.4,1028.8
48,12215,Szczecinek,2021-11-09,14,6.7,3,180,98.6,3.5,1029.7
49,12510,Śnieżka,2021-11-09,14,-1.6,10,190,100.0,0,
50,12200,Świnoujście,2021-11-09,14,10,3,210,82.0,0.5,1027.8
51,12575,Tarnów,2021-11-09,14,7.5,1,320,80.5,0.01,1033.4
52,12399,Terespol,2021-11-09,14,0.1,1,270,90.2,1.6,1034.8
53,12250,Toruń,2021-11-09,14,7.4,3,170,73.9,2.7,1031.6
54,12115,Ustka,2021-11-09,14,7.8,4,200,80.6,3.2,1028.2
55,12375,Warszawa,2021-11-09,14,2.8,1,150,87.8,2,1033.7
56,12455,Wieluń,2021-11-09,14,7.7,1,110,84.0,1.3,1032.4
57,12497,Włodawa,2021-11-09,14,0.1,3,340,88.9,2.2,1034.7
58,12424,Wrocław,2021-11-09,14,10.3,3,180,72.9,0.2,1031.4
59,12625,Zakopane,2021-11-09,14,5.3,1,40,73.6,0.01,
60,12595,Zamość,2021-11-09,14,4.1,3,320,70.7,0.9,1033.7
61,12400,"""Zielona Góra""",2021-11-09,13,8.7,1,160,84.7,0.2,1030.7
