,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
0,12295,Białystok,2021-11-07,6,5,3,210,80.8,0.01,1015.7
1,12600,"""Bielsko Biała""",2021-11-07,6,8,6,190,54.7,0,1020.1
2,12235,Chojnice,2021-11-07,6,6.1,8,210,86.9,0,1009.6
3,12550,Częstochowa,2021-11-07,6,2.4,3,190,87.8,0,1019.4
4,12160,Elbląg,2021-11-07,6,5.8,10,200,88.1,1.6,1009.2
5,12155,Gdańsk,2021-11-07,6,7.7,7,200,80.6,0.01,1008.4
6,12300,Gorzów,2021-11-07,6,6.8,4,220,86.9,0.2,1011.4
7,12135,Hel,2021-11-07,6,8.9,6,220,79.6,0.3,1007.5
8,12500,"""Jelenia Góra""",2021-11-07,6,5.3,4,350,66.9,0,1017.5
9,12435,Kalisz,2021-11-07,6,5.7,6,190,73.6,0.01,1015.6
10,12650,"""Kasprowy Wierch""",2021-11-07,6,-1.8,12,260,88.1,0,
11,12560,Katowice,2021-11-07,6,2.4,3,200,84.7,0,1020.7
12,12185,Kętrzyn,2021-11-07,6,6.9,8,200,83.9,0.01,1010.8
13,12570,Kielce,2021-11-07,6,-2.2,1,150,95.6,0.01,1021.1
14,12520,Kłodzko,2021-11-07,6,3.5,5,180,80.6,0,1019.9
15,12345,Koło,2021-11-07,6,6.2,5,210,71.6,0.3,1014.4
16,12100,Kołobrzeg,2021-11-07,6,7.6,5,200,95.9,1.7,1006.1
17,12105,Koszalin,2021-11-07,6,7.5,5,200,92.0,1.3,1006.7
18,12488,Kozienice,2021-11-07,6,2.4,3,200,87.8,0,1018.8
19,12566,Kraków,2021-11-07,6,0.5,1,110,97.1,0,1021.2
20,12670,Krosno,2021-11-07,6,4.5,3,210,79.0,0,1022.2
21,12415,Legnica,2021-11-07,6,5.8,3,180,73.7,0.01,1016.5
22,12690,Lesko,2021-11-07,6,2.9,1,330,78.7,0,1022.5
23,12418,Leszno,2021-11-07,6,6.8,4,200,67.7,0,1014.9
24,12125,Lębork,2021-11-07,6,8.6,6,210,83.5,2,1006.4
25,12495,Lublin,2021-11-07,6,1.1,3,200,91.0,0,1020.2
26,12120,Łeba,2021-11-07,6,8.5,9,220,84.7,0.1,1005.6
27,12465,Łódź,2021-11-07,6,4.3,4,210,81.9,0,1017.2
28,12280,Mikołajki,2021-11-07,6,6.7,7,200,81.6,0.7,1012.4
29,12270,Mława,2021-11-07,6,5.5,5,220,80.8,0.2,1013.7
30,12660,"""Nowy Sącz""",2021-11-07,6,-1.7,1,200,100.0,0,1023.4
31,12272,Olsztyn,2021-11-07,6,6.4,4,200,86.9,0.4,1011.8
32,12530,Opole,2021-11-07,6,0.2,1,200,93.6,0,1019.4
33,12285,Ostrołęka,2021-11-07,6,5.2,4,99,77.9,0.1,1014.7
34,12230,Piła,2021-11-07,6,7,4,210,79.9,0,1010.8
35,12001,Platforma,2021-11-07,6,8.3,17,220,82.9,0,1003.4
36,12360,Płock,2021-11-07,6,6,5,200,72.6,0,1014.3
37,12330,Poznań,2021-11-07,6,6.5,6,220,77.6,0.2,1013.3
38,12695,Przemyśl,2021-11-07,6,1.8,2,240,84.0,0,1022.4
39,12540,Racibórz,2021-11-07,6,3.6,5,190,81.8,0,1020.4
40,12210,Resko,2021-11-07,6,7.3,7,200,88.8,0.2,1007.7
41,12580,Rzeszów,2021-11-07,6,1.7,2,240,87.7,0,1021.7
42,12585,Sandomierz,2021-11-07,6,0,3,200,95.0,0,1021.2
43,12385,Siedlce,2021-11-07,6,2.6,3,190,87.8,0,1017.6
44,12310,Słubice,2021-11-07,6,7.8,6,220,74.0,0.01,1012.3
45,12469,Sulejów,2021-11-07,6,0.9,3,150,93.7,0,1018.6
46,12195,Suwałki,2021-11-07,6,6.3,6,210,85.1,0.8,1012.5
47,12205,Szczecin,2021-11-07,6,8.1,7,210,85.9,0.01,1008.4
48,12215,Szczecinek,2021-11-07,6,6.5,6,210,94.6,0.2,1009
49,12510,Śnieżka,2021-11-07,6,-4,17,230,97.0,0,
50,12200,Świnoujście,2021-11-07,6,9,7,220,87.7,0.5,1006.4
51,12575,Tarnów,2021-11-07,6,0.7,0,0,93.6,0,1022
52,12399,Terespol,2021-11-07,6,2.7,2,200,87.8,0,1018.8
53,12250,Toruń,2021-11-07,6,6,5,190,85.7,0.4,1012.2
54,12115,Ustka,2021-11-07,6,8,8,210,87.7,0.1,1005.7
55,12375,Warszawa,2021-11-07,6,2.7,3,170,87.8,0,1017.1
56,12455,Wieluń,2021-11-07,6,3.4,2,200,82.9,0,1018
57,12497,Włodawa,2021-11-07,6,1.5,5,200,91.7,0,1020
58,12424,Wrocław,2021-11-07,6,6.5,6,220,68.6,0,1016.9
59,12625,Zakopane,2021-11-07,6,-0.8,1,130,92.2,0,
60,12595,Zamość,2021-11-07,6,-0.1,3,230,93.6,0,1022
61,12400,"""Zielona Góra""",2021-11-07,6,6,6,200,71.6,0.2,1013.8
