,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
0,12295,Białystok,2021-11-15,16,3.6,2,90,80.0,0.01,1035
1,12600,"""Bielsko Biała""",2021-11-15,16,5.3,1,150,93.9,0.01,1029.6
2,12235,Chojnice,2021-11-15,16,4.1,4,110,89.9,0,1032.1
3,12550,Częstochowa,2021-11-15,16,5.3,2,100,88.1,0,1030.6
4,12160,Elbląg,2021-11-15,16,3.2,3,110,86.6,0.01,1033.3
5,12155,Gdańsk,2021-11-15,16,5.1,4,110,85.6,0.01,1032.8
6,12300,Gorzów,2021-11-15,16,4.7,2,110,88.6,0,1030
7,12135,Hel,2021-11-15,16,6.1,4,140,82.1,0,1032.9
8,12500,"""Jelenia Góra""",2021-11-15,16,2.8,1,160,91.1,0.2,1028.8
9,12435,Kalisz,2021-11-15,16,5.1,3,60,91.9,0.1,1030.6
10,12650,"""Kasprowy Wierch""",2021-11-15,16,4.8,1,80,44.5,0,
11,12560,Katowice,2021-11-15,16,5.1,3,80,88.7,0.01,1030
12,12185,Kętrzyn,2021-11-15,16,3.4,4,130,77.7,0.01,1034.4
13,12570,Kielce,2021-11-15,16,5.7,2,80,86.8,0.01,1031.2
14,12520,Kłodzko,2021-11-15,16,4.5,1,10,89.9,0,1029.4
15,12345,Koło,2021-11-15,16,5.2,3,100,88.7,0,1031.6
16,12100,Kołobrzeg,2021-11-15,16,5.6,1,150,82.6,0.01,1030.9
17,12105,Koszalin,2021-11-15,16,5.6,2,120,82.6,0,1031.2
18,12488,Kozienice,2021-11-15,16,5.1,2,90,89.9,0.01,1032.9
19,12566,Kraków,2021-11-15,16,6,3,60,88.7,0,1030.2
20,12670,Krosno,2021-11-15,16,4.4,3,80,88.6,0,1030.7
21,12415,Legnica,2021-11-15,16,5.6,2,90,88.1,0,1029.2
22,12690,Lesko,2021-11-15,16,4.7,3,90,88.0,0,1030.8
23,12418,Leszno,2021-11-15,16,5.5,3,90,88.1,0.01,1029.8
24,12125,Lębork,2021-11-15,16,5.6,2,110,85.0,0,1031.9
25,12495,Lublin,2021-11-15,16,4.8,2,110,89.9,0,1033
26,12120,Łeba,2021-11-15,16,5.4,3,120,82.6,0,1032.1
27,12465,Łódź,2021-11-15,16,5.7,5,100,93.2,0.01,1031.3
28,12280,Mikołajki,2021-11-15,16,3.3,4,120,80.6,0.01,1034.5
29,12270,Mława,2021-11-15,16,4,3,110,84.8,0,1033.5
30,12660,"""Nowy Sącz""",2021-11-15,16,6.3,1,110,85.7,0,1030.3
31,12272,Olsztyn,2021-11-15,16,3.8,2,100,87.9,0.01,1033.8
32,12530,Opole,2021-11-15,16,6.2,1,110,85.7,0,1029.9
33,12285,Ostrołęka,2021-11-15,16,3.5,2,99,83.0,0,1034.2
34,12230,Piła,2021-11-15,16,4.9,2,110,80.8,0,1031.1
35,12001,Platforma,2021-11-15,16,5.1,7,150,75.7,0,1032.2
36,12360,Płock,2021-11-15,16,4.8,4,110,88.0,0.01,1032.4
37,12330,Poznań,2021-11-15,16,5,4,110,86.8,0.01,1030.8
38,12695,Przemyśl,2021-11-15,16,4.6,3,70,89.3,0,1032
39,12540,Racibórz,2021-11-15,16,5.6,1,60,86.8,0,1029.8
40,12210,Resko,2021-11-15,16,5.2,2,80,85.0,0,1030.6
41,12580,Rzeszów,2021-11-15,16,3.9,3,80,91.1,0.01,1031.7
42,12585,Sandomierz,2021-11-15,16,5.4,2,60,86.8,0,1031.6
43,12385,Siedlce,2021-11-15,16,3.9,3,100,87.9,0.01,1034
44,12310,Słubice,2021-11-15,16,5.2,2,100,85.0,0.1,1029.2
45,12469,Sulejów,2021-11-15,16,5.7,2,60,90.6,0.01,1031.4
46,12195,Suwałki,2021-11-15,16,2.6,2,120,79.9,0.01,1035.6
47,12205,Szczecin,2021-11-15,16,5.6,2,80,88.7,0,1030.1
48,12215,Szczecinek,2021-11-15,16,4.3,2,110,99.3,0,1031.5
49,12510,Śnieżka,2021-11-15,16,4,9,180,80.6,0.2,
50,12200,Świnoujście,2021-11-15,16,5.7,3,110,86.8,0,1030.5
51,12575,Tarnów,2021-11-15,16,5.9,3,60,83.8,0,1030.9
52,12399,Terespol,2021-11-15,16,4.8,3,100,79.0,0,1034.7
53,12250,Toruń,2021-11-15,16,4.6,3,90,99.3,0,1032.1
54,12115,Ustka,2021-11-15,16,5.6,2,100,78.6,0,1031.7
55,12375,Warszawa,2021-11-15,16,4.9,5,90,89.9,0.01,1032.9
56,12455,Wieluń,2021-11-15,16,5.8,2,120,90.0,0.1,1030.4
57,12497,Włodawa,2021-11-15,16,4.8,3,100,83.1,0,1034.2
58,12424,Wrocław,2021-11-15,16,6.4,4,100,81.5,0.01,1029.5
59,12625,Zakopane,2021-11-15,16,2.8,1,130,97.9,0,
60,12595,Zamość,2021-11-15,16,5.4,5,90,88.1,0,1033
61,12400,"""Zielona Góra""",2021-11-15,16,4.1,2,100,95.2,0.2,1029.4
