,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
0,12295,Białystok,2021-11-14,3,3.8,2,110,93.8,0,1022.2
1,12600,"""Bielsko Biała""",2021-11-14,3,3.1,1,130,95.8,0,1021.1
2,12235,Chojnice,2021-11-14,3,4.7,3,110,93.2,0.01,1021.1
3,12550,Częstochowa,2021-11-14,3,3.5,2,160,86.6,0,1020.8
4,12160,Elbląg,2021-11-14,3,4.7,1,70,86.8,0,1021.8
5,12155,Gdańsk,2021-11-14,3,6.3,2,110,86.9,0,1021.3
6,12300,Gorzów,2021-11-14,3,3.5,2,30,99.3,0,1020
7,12135,Hel,2021-11-14,3,7.7,3,110,80.6,0,1021.7
8,12500,"""Jelenia Góra""",2021-11-14,2,3.3,1,180,93.8,0,1020.2
9,12435,Kalisz,2021-11-14,3,0.9,2,110,100.0,0,1020.7
10,12650,"""Kasprowy Wierch""",2021-11-14,3,0.9,9,170,76.7,0,
11,12560,Katowice,2021-11-14,2,3.1,1,180,95.8,0,1020.8
12,12185,Kętrzyn,2021-11-14,3,5.1,2,100,91.9,0,1021.7
13,12570,Kielce,2021-11-14,2,2.1,1,210,97.9,0,1021.2
14,12520,Kłodzko,2021-11-14,3,3.2,2,190,89.2,0,1020.9
15,12345,Koło,2021-11-14,2,2.2,1,99,92.4,0,1020.4
16,12100,Kołobrzeg,2021-11-14,3,6,2,150,86.9,0,1020.9
17,12105,Koszalin,2021-11-14,3,5.5,2,30,90.6,0,1021.1
18,12488,Kozienice,2021-11-14,2,0.5,1,150,97.8,0.2,1020.3
19,12566,Kraków,2021-11-14,3,3.3,1,10,95.8,0,1021.6
20,12670,Krosno,2021-11-14,3,4.4,3,330,83.7,0.1,1021.2
21,12415,Legnica,2021-11-14,2,4.6,0,0,95.8,0,1019.6
22,12690,Lesko,2021-11-14,3,5.4,1,60,56.9,0.01,1020.7
23,12418,Leszno,2021-11-14,3,3.3,1,80,97.2,0,1019.8
24,12125,Lębork,2021-11-14,3,6.4,2,60,93.9,0,1021.2
25,12495,Lublin,2021-11-14,3,2.9,2,200,97.2,0.2,1021.1
26,12120,Łeba,2021-11-14,3,6.3,1,70,93.9,0,1021.5
27,12465,Łódź,2021-11-14,3,1.7,2,230,100.0,0.01,1020.8
28,12280,Mikołajki,2021-11-14,3,4.7,3,90,95.2,0,1021.8
29,12270,Mława,2021-11-14,3,5.6,2,70,90.6,0,1020.7
30,12660,"""Nowy Sącz""",2021-11-14,3,3.4,1,190,93.1,0,1021.7
31,12272,Olsztyn,2021-11-14,3,5.9,2,90,93.2,0,1021.2
32,12530,Opole,2021-11-14,3,4.5,1,170,83.1,0,1020.1
33,12285,Ostrołęka,2021-11-14,2,4.7,2,99,90.6,0,1020.7
34,12230,Piła,2021-11-14,3,3.7,1,110,97.2,0,1020.3
35,12001,Platforma,2021-11-14,3,6.5,5,70,85.1,0,1022.2
36,12360,Płock,2021-11-14,3,5.1,1,20,95.2,0,1020.4
37,12330,Poznań,2021-11-14,3,1.1,2,90,99.3,0,1020.2
38,12695,Przemyśl,2021-11-14,3,2.6,2,99,92.4,0,1021.4
39,12540,Racibórz,2021-11-14,2,4.6,3,180,83.7,0,1020.2
40,12210,Resko,2021-11-14,3,5.6,2,20,90.6,0,1020.6
41,12580,Rzeszów,2021-11-14,3,3.8,2,270,93.1,0,1021.5
42,12585,Sandomierz,2021-11-14,3,2.1,2,250,97.9,0,1021.5
43,12385,Siedlce,2021-11-14,2,3.4,1,100,97.2,0.01,1020.7
44,12310,Słubice,2021-11-14,3,2.6,1,80,95.1,0,1020.2
45,12469,Sulejów,2021-11-14,3,1.2,2,200,100.0,0.01,1021.1
46,12195,Suwałki,2021-11-14,3,3.1,3,100,97.9,0,1023.2
47,12205,Szczecin,2021-11-14,3,4.8,1,90,95.9,0,1020.5
48,12215,Szczecinek,2021-11-14,3,5,2,99,,0,1020.7
49,12510,Śnieżka,2021-11-14,3,0.5,15,350,100.0,0,
50,12200,Świnoujście,2021-11-14,3,7.2,3,110,81.1,0,1020.8
51,12575,Tarnów,2021-11-14,3,4.2,0,0,88.0,0,1021.6
52,12399,Terespol,2021-11-14,2,3,2,110,95.8,0.01,1021.7
53,12250,Toruń,2021-11-14,3,2.5,1,320,99.3,0,1021
54,12115,Ustka,2021-11-14,3,6.3,2,80,83.9,0,1021.2
55,12375,Warszawa,2021-11-14,3,3.8,1,250,99.3,0,1020.3
56,12455,Wieluń,2021-11-14,3,1.3,1,130,100.0,0.1,1020.6
57,12497,Włodawa,2021-11-14,3,1.5,2,180,95.7,0.01,1021.8
58,12424,Wrocław,2021-11-14,3,-0.7,1,280,97.1,0,1020.1
59,12625,Zakopane,2021-11-14,2,-1.5,1,150,95.6,0,
60,12595,Zamość,2021-11-14,3,0.7,2,120,97.8,0,1021.7
61,12400,"""Zielona Góra""",2021-11-14,3,5.5,1,330,90.6,0,1019.8
