,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
0,12295,Białystok,2021-11-05,15,8.4,4,240,72.5,0.01,1015.2
1,12600,"""Bielsko Biała""",2021-11-05,15,7.5,5,230,63.6,0.01,1022.5
2,12235,Chojnice,2021-11-05,15,7.3,5,260,87.6,7.7,1015.7
3,12550,Częstochowa,2021-11-05,15,6.8,2,250,85.1,0.3,1020.9
4,12160,Elbląg,2021-11-05,15,6.3,5,250,91.9,9.3,1013.6
5,12155,Gdańsk,2021-11-05,15,7.6,5,250,85.8,5.4,1013.5
6,12300,Gorzów,2021-11-05,15,7.7,3,250,87.0,26.6,1018.9
7,12135,Hel,2021-11-05,15,8.1,8,270,82.9,9.8,1013.2
8,12500,"""Jelenia Góra""",2021-11-05,15,6.2,3,250,80.9,2.6,1022.3
9,12435,Kalisz,2021-11-05,15,6.7,5,230,92.6,2.3,1019.6
10,12650,"""Kasprowy Wierch""",2021-11-05,15,-1.9,4,180,43.6,3.8,
11,12560,Katowice,2021-11-05,15,9,4,220,63.5,1.4,1021.3
12,12185,Kętrzyn,2021-11-05,15,8,6,260,94.0,0.5,1012.6
13,12570,Kielce,2021-11-05,15,8.7,3,220,66.6,0.1,1020.3
14,12520,Kłodzko,2021-11-05,15,6,2,310,83.8,0.6,1022.8
15,12345,Koło,2021-11-05,15,7.3,5,240,87.6,4.6,1018.1
16,12100,Kołobrzeg,2021-11-05,15,9.9,9,270,78.6,37.9,1015.6
17,12105,Koszalin,2021-11-05,15,8.9,5,270,74.7,20.5,1015.3
18,12488,Kozienice,2021-11-05,15,9.6,5,240,64.5,0.01,1018.7
19,12566,Kraków,2021-11-05,15,8.3,6,230,67.5,0,1021.7
20,12670,Krosno,2021-11-05,15,9.3,2,310,56.6,0.01,1020.9
21,12415,Legnica,2021-11-05,15,7,4,250,88.8,2.9,1021.2
22,12690,Lesko,2021-11-05,15,8.9,2,290,51.8,0.2,1021.1
23,12418,Leszno,2021-11-05,15,7.7,4,240,90.1,5.3,1020
24,12125,Lębork,2021-11-05,15,6.9,5,250,85.7,6.1,1013.6
25,12495,Lublin,2021-11-05,15,8.7,2,260,64.8,0.01,1019.7
26,12120,Łeba,2021-11-05,15,8.3,7,280,77.8,4.8,1013.4
27,12465,Łódź,2021-11-05,15,7.8,7,270,84.6,1.8,1019
28,12280,Mikołajki,2021-11-05,15,7.7,5,240,92.0,0.1,1013.4
29,12270,Mława,2021-11-05,15,7.4,6,250,87.6,1.5,1015.5
30,12660,"""Nowy Sącz""",2021-11-05,15,10.1,1,280,53.6,0,1021.2
31,12272,Olsztyn,2021-11-05,15,7.5,4,250,97.3,2.5,1013.8
32,12530,Opole,2021-11-05,15,7.6,3,280,82.8,3.2,1021.8
33,12285,Ostrołęka,2021-11-05,15,8.4,5,240,77.3,0,1015.2
34,12230,Piła,2021-11-05,15,7.7,3,250,82.9,16.5,1017.3
35,12001,Platforma,2021-11-05,15,6.4,12,280,68.6,0,1011
36,12360,Płock,2021-11-05,15,7.4,4,280,87.0,1.4,1017.1
37,12330,Poznań,2021-11-05,15,7.6,5,250,90.7,10.3,1018.7
38,12695,Przemyśl,2021-11-05,15,9.2,2,99,61.3,0.2,1021
39,12540,Racibórz,2021-11-05,15,8.6,4,220,72.6,0.6,1021.9
40,12210,Resko,2021-11-05,15,8.2,5,230,80.1,41.5,1016.6
41,12580,Rzeszów,2021-11-05,15,8.1,3,270,62.8,2.6,1021.1
42,12585,Sandomierz,2021-11-05,15,8.2,2,250,67.5,0.5,1020.6
43,12385,Siedlce,2021-11-05,15,8.7,4,240,71.6,0.01,1017.5
44,12310,Słubice,2021-11-05,15,8.7,3,240,81.8,29.4,1019.8
45,12469,Sulejów,2021-11-05,15,8.1,4,230,77.8,1.9,1019.5
46,12195,Suwałki,2021-11-05,15,6.9,5,220,95.2,0.01,1012.1
47,12205,Szczecin,2021-11-05,15,9,3,230,79.6,35.8,1017.6
48,12215,Szczecinek,2021-11-05,15,7.2,4,99,93.3,5.5,1016.2
49,12510,Śnieżka,2021-11-05,15,-2.8,18,310,100.0,23.9,
50,12200,Świnoujście,2021-11-05,15,9.8,3,250,77.5,50.4,1016.7
51,12575,Tarnów,2021-11-05,15,9.2,1,330,57.8,0.01,1021.2
52,12399,Terespol,2021-11-05,15,9.6,4,230,61.8,0.1,1017.6
53,12250,Toruń,2021-11-05,15,7.3,3,240,97.9,4.9,1016.4
54,12115,Ustka,2021-11-05,15,9,7,290,75.8,11.4,1014
55,12375,Warszawa,2021-11-05,15,8.8,4,250,75.8,0.01,1017.5
56,12455,Wieluń,2021-11-05,15,7.4,4,270,81.7,1.7,1020.3
57,12497,Włodawa,2021-11-05,15,9.5,6,250,60.5,0.01,1018.6
58,12424,Wrocław,2021-11-05,15,7.1,4,260,87.0,0.9,1021.3
59,12625,Zakopane,2021-11-05,15,6.2,1,250,41.6,3,
60,12595,Zamość,2021-11-05,15,7.3,4,240,66.8,0.3,1020.2
61,12400,"""Zielona Góra""",2021-11-05,15,7.2,3,290,88.8,14,1020.4
