,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
0,12295,Białystok,2021-11-07,14,8.3,3,200,64.7,0.01,1008.2
1,12600,"""Bielsko Biała""",2021-11-07,14,9.1,5,200,58.6,0,1014.9
2,12235,Chojnice,2021-11-07,14,7.2,6,230,92.0,0,1005.3
3,12550,Częstochowa,2021-11-07,13,8.7,3,210,55.6,0,1013.4
4,12160,Elbląg,2021-11-07,14,6.4,8,210,93.9,1.6,1004.1
5,12155,Gdańsk,2021-11-07,14,8.6,6,210,84.7,0.01,1003.1
6,12300,Gorzów,2021-11-07,14,8.7,4,250,83.6,0.2,1008.3
7,12135,Hel,2021-11-07,14,9.1,6,240,89.6,0.3,1002.2
8,12500,"""Jelenia Góra""",2021-11-07,14,6.7,5,260,76.0,0,1013.7
9,12435,Kalisz,2021-11-07,14,7.6,6,220,80.5,0.01,1011
10,12650,"""Kasprowy Wierch""",2021-11-07,14,1.2,10,260,33.6,0,
11,12560,Katowice,2021-11-07,14,9.2,6,220,58.7,0,1014.2
12,12185,Kętrzyn,2021-11-07,14,6.2,7,220,91.9,0.01,1005.1
13,12570,Kielce,2021-11-07,14,9.9,4,230,57.6,0.01,1012.9
14,12520,Kłodzko,2021-11-07,14,6.5,7,230,75.9,0,1015
15,12345,Koło,2021-11-07,14,7.7,7,240,77.2,0.3,1009.7
16,12100,Kołobrzeg,2021-11-07,14,9.7,7,260,77.5,1.7,1004.7
17,12105,Koszalin,2021-11-07,14,9.7,6,260,78.6,1.3,1004.4
18,12488,Kozienice,2021-11-07,14,10.3,3,220,57.7,0,1011.1
19,12566,Kraków,2021-11-07,14,10.5,5,210,58.5,0,1014.2
20,12670,Krosno,2021-11-07,14,8.4,6,190,70.5,0,1015.4
21,12415,Legnica,2021-11-07,14,8.6,4,230,71.6,0.01,1012.4
22,12690,Lesko,2021-11-07,14,8.1,5,190,66.5,0,1016.1
23,12418,Leszno,2021-11-07,14,8.1,7,230,77.8,0,1010.9
24,12125,Lębork,2021-11-07,14,8.9,5,250,92.7,2,1002.3
25,12495,Lublin,2021-11-07,14,8.1,4,220,65.6,0,1012.5
26,12120,Łeba,2021-11-07,14,8.2,9,270,90.8,0.1,1002.1
27,12465,Łódź,2021-11-07,14,7.4,4,230,79.9,0,1011.3
28,12280,Mikołajki,2021-11-07,14,6,6,210,90.6,0.7,1006.4
29,12270,Mława,2021-11-07,14,6.2,6,230,90.7,0.2,1008.3
30,12660,"""Nowy Sącz""",2021-11-07,14,12,4,210,48.6,0,1014.2
31,12272,Olsztyn,2021-11-07,14,6.7,5,210,90.7,0.4,1005.8
32,12530,Opole,2021-11-07,13,9.3,2,200,63.5,0,1013.7
33,12285,Ostrołęka,2021-11-07,14,6.7,5,230,82.7,0.1,1008.5
34,12230,Piła,2021-11-07,14,8.3,4,220,88.9,0,1006.8
35,12001,Platforma,2021-11-07,14,8.3,12,260,87.1,0,999.6
36,12360,Płock,2021-11-07,14,6.8,6,230,86.9,0,1009.1
37,12330,Poznań,2021-11-07,14,8.9,6,230,77.9,0.2,1009.1
38,12695,Przemyśl,2021-11-07,14,10.4,5,240,56.9,0,1015.1
39,12540,Racibórz,2021-11-07,14,9.5,6,220,56.7,0,1014.5
40,12210,Resko,2021-11-07,14,9.3,6,230,74.8,0.2,1005.5
41,12580,Rzeszów,2021-11-07,14,9.6,5,190,64.5,0,1014.3
42,12585,Sandomierz,2021-11-07,14,9.1,5,200,61.7,0,1013.2
43,12385,Siedlce,2021-11-07,14,9.5,4,210,59.6,0,1010.2
44,12310,Słubice,2021-11-07,14,8,4,230,87.1,0.01,1009.7
45,12469,Sulejów,2021-11-07,14,8.3,9,230,68.5,0,1012.1
46,12195,Suwałki,2021-11-07,14,5.7,6,210,85.0,0.8,1006
47,12205,Szczecin,2021-11-07,14,9.1,5,250,78.5,0.01,1007
48,12215,Szczecinek,2021-11-07,14,7.5,4,99,94.6,0.2,1005.4
49,12510,Śnieżka,2021-11-07,14,-2.5,23,260,100.0,0,
50,12200,Świnoujście,2021-11-07,14,9.2,4,260,71.7,0.5,1005.7
51,12575,Tarnów,2021-11-07,14,11.8,1,210,53.6,0,1013.7
52,12399,Terespol,2021-11-07,14,8.9,4,200,61.6,0,1011.1
53,12250,Toruń,2021-11-07,14,7.9,4,210,85.8,0.4,1007.5
54,12115,Ustka,2021-11-07,14,10,8,260,86.0,0.1,1002.7
55,12375,Warszawa,2021-11-07,14,9.2,4,230,60.8,0,1010.1
56,12455,Wieluń,2021-11-07,14,8.4,4,240,65.6,0,1012.2
57,12497,Włodawa,2021-11-07,14,8.8,7,210,59.9,0,1012.1
58,12424,Wrocław,2021-11-07,14,8.3,6,240,67.5,0,1012.7
59,12625,Zakopane,2021-11-07,14,8.4,1,130,50.5,0,
60,12595,Zamość,2021-11-07,14,7.8,4,200,67.9,0,1014
61,12400,"""Zielona Góra""",2021-11-07,14,7.1,4,230,87.6,0.2,1010.7
