,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
0,12295,Białystok,2021-11-07,0,7.8,2,230,80.6,0.5,1019.8
1,12600,"""Bielsko Biała""",2021-11-07,0,5.6,4,200,71.0,0.01,1025.3
2,12235,Chojnice,2021-11-07,0,7.4,6,230,84.0,2,1016.4
3,12550,Częstochowa,2021-11-07,0,2.5,1,200,89.7,0.01,1024.5
4,12160,Elbląg,2021-11-07,0,7.1,7,210,92.0,8.8,1015.7
5,12155,Gdańsk,2021-11-07,0,9.2,6,220,81.9,0.5,1014.5
6,12300,Gorzów,2021-11-07,0,7.3,4,230,81.7,0.6,1017.9
7,12135,Hel,2021-11-07,0,9.9,6,240,82.5,1.5,1013.8
8,12500,"""Jelenia Góra""",2021-11-07,0,-2.6,1,230,95.6,0.3,1024.1
9,12435,Kalisz,2021-11-07,0,5.3,5,190,82.0,1.1,1021.7
10,12650,"""Kasprowy Wierch""",2021-11-07,0,0.1,8,280,64.8,0,
11,12560,Katowice,2021-11-07,0,3.5,4,200,80.6,0.1,1024.9
12,12185,Kętrzyn,2021-11-07,0,8.6,5,230,81.8,0.3,1016.3
13,12570,Kielce,2021-11-07,0,-2,1,110,97.1,0.01,1025.7
14,12520,Kłodzko,2021-11-07,0,3,1,200,79.9,0.01,1024.8
15,12345,Koło,2021-11-07,0,7.1,5,210,71.8,1.8,1020.1
16,12100,Kołobrzeg,2021-11-07,0,9.5,5,190,75.9,2.8,1013.2
17,12105,Koszalin,2021-11-07,0,9.3,6,210,76.9,7.8,1013.9
18,12488,Kozienice,2021-11-07,0,4.1,3,220,83.0,0.01,1023.3
19,12566,Kraków,2021-11-07,0,-0.5,0,0,95.0,0.01,1026.2
20,12670,Krosno,2021-11-07,0,2.4,3,150,84.7,0,1026.8
21,12415,Legnica,2021-11-07,0,2.6,3,170,89.1,1.2,1022.4
22,12690,Lesko,2021-11-07,0,-0.7,3,110,92.2,0,1027.9
23,12418,Leszno,2021-11-07,0,6.4,4,220,77.0,0.8,1020.7
24,12125,Lębork,2021-11-07,0,9.7,6,230,79.7,5.5,1013.4
25,12495,Lublin,2021-11-07,0,2.2,2,240,87.8,0.2,1024.5
26,12120,Łeba,2021-11-07,0,9.3,10,230,84.8,1.1,1013
27,12465,Łódź,2021-11-07,0,4.8,3,220,83.7,0.1,1022.3
28,12280,Mikołajki,2021-11-07,0,8.4,4,210,81.8,2,1017.2
29,12270,Mława,2021-11-07,0,7.2,4,230,81.1,0.5,1018.8
30,12660,"""Nowy Sącz""",2021-11-07,0,-1.5,1,160,97.8,0.01,1027.5
31,12272,Olsztyn,2021-11-07,0,8.5,4,210,80.7,0.9,1017.1
32,12530,Opole,2021-11-07,0,1.8,1,190,93.0,0.01,1024.3
33,12285,Ostrołęka,2021-11-07,0,7.1,4,210,80.5,0.6,1019.3
34,12230,Piła,2021-11-07,0,8.1,4,210,80.0,0.4,1017.4
35,12001,Platforma,2021-11-07,0,7.8,17,230,90.8,0,1010.7
36,12360,Płock,2021-11-07,0,7.2,5,230,77.7,0.8,1019.8
37,12330,Poznań,2021-11-07,0,6.9,5,220,78.8,3.8,1019.4
38,12695,Przemyśl,2021-11-07,0,0.5,2,240,93.6,0,1027.3
39,12540,Racibórz,2021-11-07,0,3.4,3,170,84.2,0.01,1024.8
40,12210,Resko,2021-11-07,0,8.7,5,190,75.7,0.6,1014.7
41,12580,Rzeszów,2021-11-07,0,0.8,2,200,91.6,0,1026.6
42,12585,Sandomierz,2021-11-07,0,1.5,3,230,91.7,0,1025.2
43,12385,Siedlce,2021-11-07,0,5.1,3,220,82.0,0.01,1021.7
44,12310,Słubice,2021-11-07,0,7.2,4,210,76.6,0.7,1019
45,12469,Sulejów,2021-11-07,0,2.9,4,180,89.1,0.3,1023.5
46,12195,Suwałki,2021-11-07,0,7.7,6,230,84.0,2.1,1016.9
47,12205,Szczecin,2021-11-07,0,9,7,220,75.8,0.01,1015.2
48,12215,Szczecinek,2021-11-07,0,7.8,3,99,89.5,3.5,1016
49,12510,Śnieżka,2021-11-07,0,-3.9,8,250,97.0,1.6,
50,12200,Świnoujście,2021-11-07,0,9.5,5,210,74.8,0.01,1013.4
51,12575,Tarnów,2021-11-07,0,-0.6,0,0,90.8,0,1026.2
52,12399,Terespol,2021-11-07,0,5.4,3,210,82.0,0.01,1022.2
53,12250,Toruń,2021-11-07,0,8.6,4,210,76.8,2.2,1018.2
54,12115,Ustka,2021-11-07,0,9.5,7,220,76.9,2.8,1012.9
55,12375,Warszawa,2021-11-07,0,6,2,180,78.1,0.6,1021.5
56,12455,Wieluń,2021-11-07,0,3.1,2,200,84.7,0.2,1023.1
57,12497,Włodawa,2021-11-07,0,3.5,6,210,84.8,0.01,1023.6
58,12424,Wrocław,2021-11-07,0,1.1,2,140,91.6,0.3,1022.8
59,12625,Zakopane,2021-11-07,0,-2.4,1,130,92.8,0,
60,12595,Zamość,2021-11-07,0,1.9,3,220,84.6,0,1025.5
61,12400,"""Zielona Góra""",2021-11-07,0,5.9,4,220,76.9,0.5,1020.3
