,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
0,12295,Białystok,2021-11-21,3,8.7,3,250,83.5,0.3,1005.3
1,12600,"""Bielsko Biała""",2021-11-21,3,7.1,4,230,81.6,1.3,1013.8
2,12235,Chojnice,2021-11-21,3,7.6,6,250,92.7,2.2,1005.8
3,12550,Częstochowa,2021-11-21,3,6.9,2,210,88.8,2.5,1012.7
4,12160,Elbląg,2021-11-21,3,7.3,9,230,90.7,4.9,1003.3
5,12155,Gdańsk,2021-11-21,3,9.1,5,220,79.6,0.2,1003.1
6,12300,Gorzów,2021-11-21,3,8.3,5,250,88.9,0.01,1008.9
7,12135,Hel,2021-11-21,3,9.6,7,260,80.8,0.9,1002.2
8,12500,"""Jelenia Góra""",2021-11-21,3,-0.4,1,110,99.3,0.2,1013.6
9,12435,Kalisz,2021-11-21,3,8.3,6,230,79.5,0,1010.8
10,12650,"""Kasprowy Wierch""",2021-11-21,3,1.7,4,270,45.7,7.2,
11,12560,Katowice,2021-11-21,3,7.1,4,200,87.6,5.2,1013.2
12,12185,Kętrzyn,2021-11-21,3,8.3,7,250,90.8,0.4,1003.3
13,12570,Kielce,2021-11-21,3,7.5,3,230,88.9,2.7,1012.4
14,12520,Kłodzko,2021-11-21,3,4.9,1,170,88.0,0.4,1013.9
15,12345,Koło,2021-11-21,3,8.6,7,240,76.3,0.2,1009.1
16,12100,Kołobrzeg,2021-11-21,3,8.9,5,230,90.8,0,1004.9
17,12105,Koszalin,2021-11-21,3,9.1,7,240,86.0,0,1004.8
18,12488,Kozienice,2021-11-21,3,9.1,5,240,76.9,1.5,1009.9
19,12566,Kraków,2021-11-21,3,7.5,3,210,87.0,0.6,1013.5
20,12670,Krosno,2021-11-21,3,5.5,5,200,91.9,18.7,1014.6
21,12415,Legnica,2021-11-21,3,4.9,1,250,88.7,0.01,1012.5
22,12690,Lesko,2021-11-21,3,6.6,4,210,86.9,6.8,1014.8
23,12418,Leszno,2021-11-21,3,8.4,5,240,79.0,0.01,1011.2
24,12125,Lębork,2021-11-21,3,9.3,7,250,86.0,1.4,1002.7
25,12495,Lublin,2021-11-21,3,8.2,5,260,78.9,1.8,1010.6
26,12120,Łeba,2021-11-21,3,9.1,12,260,90.8,0.1,1002.2
27,12465,Łódź,2021-11-21,3,8.4,6,240,79.5,1.7,1010.6
28,12280,Mikołajki,2021-11-21,3,8.6,5,240,85.9,0.1,1003.8
29,12270,Mława,2021-11-21,3,8.3,7,250,88.9,0.2,1006.3
30,12660,"""Nowy Sącz""",2021-11-21,3,8.5,2,200,77.9,3.9,1013.9
31,12272,Olsztyn,2021-11-21,3,8.1,4,240,94.0,1.3,1004.6
32,12530,Opole,2021-11-21,3,5.1,2,180,93.8,0.6,1012.9
33,12285,Ostrołęka,2021-11-21,3,8.6,4,240,88.3,0.7,1006
34,12230,Piła,2021-11-21,3,8.1,2,230,92.7,0.8,1007.4
35,12001,Platforma,2021-11-21,3,7.7,18,250,88.9,0,998.8
36,12360,Płock,2021-11-21,3,8.6,7,250,83.5,0.5,1008
37,12330,Poznań,2021-11-21,3,8.1,6,240,90.1,0.1,1009.6
38,12695,Przemyśl,2021-11-21,3,7.4,3,99,84.0,8.9,1014.1
39,12540,Racibórz,2021-11-21,3,6.2,4,180,86.9,0.6,1013.6
40,12210,Resko,2021-11-21,3,8.3,6,230,92.1,0.1,1006.2
41,12580,Rzeszów,2021-11-21,3,7.3,5,200,81.6,3.8,1013.6
42,12585,Sandomierz,2021-11-21,3,8.1,3,220,87.1,0.7,1012.2
43,12385,Siedlce,2021-11-21,3,8.7,5,240,84.7,1.5,1008.1
44,12310,Słubice,2021-11-21,3,8.5,5,230,79.0,0.01,1010
45,12469,Sulejów,2021-11-21,3,8.1,5,220,82.9,0.6,1011.1
46,12195,Suwałki,2021-11-21,3,8,6,250,84.6,1.1,1002.4
47,12205,Szczecin,2021-11-21,3,9,5,230,89.6,0.01,1007.4
48,12215,Szczecinek,2021-11-21,3,7.8,4,99,99.3,3.2,1005.8
49,12510,Śnieżka,2021-11-21,3,4.1,25,270,40.7,0.6,
50,12200,Świnoujście,2021-11-21,3,8.9,5,230,89.0,0,1005.8
51,12575,Tarnów,2021-11-21,3,8.7,1,230,83.0,2.1,1013.5
52,12399,Terespol,2021-11-21,3,9.2,4,240,81.9,0.4,1007.9
53,12250,Toruń,2021-11-21,3,9,4,220,84.8,0.01,1007.1
54,12115,Ustka,2021-11-21,3,9.4,10,250,86.0,0.01,1003
55,12375,Warszawa,2021-11-21,3,9.3,6,250,78.5,1.4,1008.7
56,12455,Wieluń,2021-11-21,3,7.6,3,240,82.8,1.3,1011.9
57,12497,Włodawa,2021-11-21,3,8.7,7,250,83.0,1.5,1009.3
58,12424,Wrocław,2021-11-21,3,7.5,2,240,80.5,0.01,1012.3
59,12625,Zakopane,2021-11-21,3,3.5,1,190,89.2,0.4,
60,12595,Zamość,2021-11-21,3,8.4,8,250,87.1,1.6,1011.5
61,12400,"""Zielona Góra""",2021-11-21,3,7.5,4,240,80.5,0.01,1011
