,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
0,12295,Białystok,2021-11-11,18,3.1,2,250,97.2,0,1021.3
1,12600,"""Bielsko Biała""",2021-11-11,18,4.6,2,250,91.2,0,1025.9
2,12235,Chojnice,2021-11-11,18,5.8,4,240,97.2,0,1021.9
3,12550,Częstochowa,2021-11-11,18,4.4,1,200,86.1,0,1025
4,12160,Elbląg,2021-11-11,18,4.7,7,230,95.2,0,1020.3
5,12155,Gdańsk,2021-11-11,18,7.3,3,210,87.6,0,1019.7
6,12300,Gorzów,2021-11-11,18,7.2,2,250,90.7,0,1023.6
7,12135,Hel,2021-11-11,18,9.9,7,270,94.1,0.01,1019.3
8,12500,"""Jelenia Góra""",2021-11-11,18,0.5,1,120,95.7,0,1026.1
9,12435,Kalisz,2021-11-11,18,4.1,2,260,91.8,0,1024.3
10,12650,"""Kasprowy Wierch""",2021-11-11,18,8.7,2,270,46.6,0,
11,12560,Katowice,2021-11-11,18,4.8,2,240,84.9,0,1025.5
12,12185,Kętrzyn,2021-11-11,18,5.2,4,210,91.9,0,1019.6
13,12570,Kielce,2021-11-11,18,1.4,1,180,100.0,0,1025.3
14,12520,Kłodzko,2021-11-11,18,4.7,1,230,86.1,0,1026.3
15,12345,Koło,2021-11-11,18,3.9,3,240,89.2,0,1023.5
16,12100,Kołobrzeg,2021-11-11,18,9.2,3,230,100.0,0,1021.4
17,12105,Koszalin,2021-11-11,18,8.2,3,230,98.0,0.01,1021.4
18,12488,Kozienice,2021-11-11,18,3.9,2,240,91.8,0,1023.6
19,12566,Kraków,2021-11-11,18,3.8,2,190,91.1,0,1025.6
20,12670,Krosno,2021-11-11,18,5.8,4,200,78.6,0,1025.8
21,12415,Legnica,2021-11-11,18,2.8,1,190,93.7,0,1025.1
22,12690,Lesko,2021-11-11,18,6.8,3,200,69.7,0,1025.8
23,12418,Leszno,2021-11-11,18,1.2,1,230,95.7,0,1024.6
24,12125,Lębork,2021-11-11,18,8.8,4,230,100.0,0.01,1019.7
25,12495,Lublin,2021-11-11,18,4.3,2,240,81.9,0,1023.8
26,12120,Łeba,2021-11-11,18,8.4,7,240,100.0,0,1019.5
27,12465,Łódź,2021-11-11,18,1.4,0,0,95.1,0,1024.4
28,12280,Mikołajki,2021-11-11,18,5.3,3,240,91.9,0,1020.3
29,12270,Mława,2021-11-11,18,3.1,3,250,95.8,0,1022
30,12660,"""Nowy Sącz""",2021-11-11,18,3.7,1,140,91.1,0,1026.1
31,12272,Olsztyn,2021-11-11,18,5.8,3,250,88.7,0,1020.6
32,12530,Opole,2021-11-11,18,4.5,1,240,88.6,0,1025.1
33,12285,Ostrołęka,2021-11-11,18,2.5,1,240,96.5,0,1021.7
34,12230,Piła,2021-11-11,18,5.3,2,220,100.0,0,1022.8
35,12001,Platforma,2021-11-11,18,7.6,11,250,97.3,0,1017.1
36,12360,Płock,2021-11-11,18,5.2,5,240,88.7,0,1022.6
37,12330,Poznań,2021-11-11,18,4.3,2,230,93.8,0,1023.8
38,12695,Przemyśl,2021-11-11,18,7.2,3,250,71.3,0,1024.9
39,12540,Racibórz,2021-11-11,18,3.4,4,220,89.8,0,1025.8
40,12210,Resko,2021-11-11,18,7.9,3,240,95.9,0,1022.1
41,12580,Rzeszów,2021-11-11,18,4.3,4,230,86.1,0,1025.2
42,12585,Sandomierz,2021-11-11,18,4.9,3,220,77.9,0.01,1024.5
43,12385,Siedlce,2021-11-11,18,3.6,3,240,95.1,0,1022.7
44,12310,Słubice,2021-11-11,18,7.4,1,210,78.8,0,1024.1
45,12469,Sulejów,2021-11-11,18,3.5,2,200,95.1,0,1024.4
46,12195,Suwałki,2021-11-11,18,3.5,5,230,97.2,0,1019.7
47,12205,Szczecin,2021-11-11,18,7.8,4,220,97.3,0,1022.7
48,12215,Szczecinek,2021-11-11,18,6.8,2,99,,0,1021.9
49,12510,Śnieżka,2021-11-11,18,6.9,10,300,35.6,0,
50,12200,Świnoujście,2021-11-11,18,9.5,3,230,98.0,0.01,1022.1
51,12575,Tarnów,2021-11-11,18,3.2,1,190,86.6,0,1025.4
52,12399,Terespol,2021-11-11,18,3.5,2,210,95.1,0,1022.5
53,12250,Toruń,2021-11-11,18,3.8,2,240,99.3,0,1022.7
54,12115,Ustka,2021-11-11,18,9.4,5,240,94.7,0,1020
55,12375,Warszawa,2021-11-11,18,3.5,1,230,93.8,0,1022.9
56,12455,Wieluń,2021-11-11,18,3.8,1,230,91.8,0,1024.6
57,12497,Włodawa,2021-11-11,18,3.5,4,220,86.6,0,1023
58,12424,Wrocław,2021-11-11,18,4.1,3,260,88.0,0,1024.8
59,12625,Zakopane,2021-11-11,18,2.1,1,110,89.7,0,
60,12595,Zamość,2021-11-11,18,4.2,4,240,88.0,0,1024.1
61,12400,"""Zielona Góra""",2021-11-11,18,5.8,2,260,85.6,0.1,1024.6
