,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
0,12295,Białystok,2021-11-06,6,6.7,4,240,92.0,0.5,1020.5
1,12600,"""Bielsko Biała""",2021-11-06,6,5.8,3,220,78.0,0.01,1029.6
2,12235,Chojnice,2021-11-06,6,7.5,6,250,92.0,2,1020.4
3,12550,Częstochowa,2021-11-06,6,3.7,2,210,91.1,0.01,1028.3
4,12160,Elbląg,2021-11-06,6,7.1,8,230,95.3,8.8,1017.9
5,12155,Gdańsk,2021-11-06,6,9,5,240,83.6,0.5,1017.5
6,12300,Gorzów,2021-11-06,6,6.7,4,240,97.3,0.6,1024.1
7,12135,Hel,2021-11-06,6,9.8,7,260,84.8,1.5,1016.6
8,12500,"""Jelenia Góra""",2021-11-06,5,1.3,1,20,95.7,2.6,1028.8
9,12435,Kalisz,2021-11-06,6,5.8,6,230,91.9,1.1,1025.7
10,12650,"""Kasprowy Wierch""",2021-11-06,6,-4.1,3,220,75.9,0,
11,12560,Katowice,2021-11-06,6,3.3,3,200,89.2,0.1,1029.4
12,12185,Kętrzyn,2021-11-06,6,8,5,250,90.8,0.3,1017.6
13,12570,Kielce,2021-11-06,6,5.5,3,240,86.8,0.01,1027.8
14,12520,Kłodzko,2021-11-06,6,2.9,3,150,91.7,0.01,1029.8
15,12345,Koło,2021-11-06,5,7,7,240,84.0,4.6,1023.3
16,12100,Kołobrzeg,2021-11-06,6,8.9,4,230,90.8,2.8,1019.8
17,12105,Koszalin,2021-11-06,6,8.9,5,240,89.6,7.8,1019.5
18,12488,Kozienice,2021-11-06,6,5.9,4,230,88.1,0.01,1025.2
19,12566,Kraków,2021-11-06,6,5.2,2,210,88.0,0.01,1029.4
20,12670,Krosno,2021-11-06,6,2.7,2,100,87.2,0,1029.5
21,12415,Legnica,2021-11-06,6,6.9,5,250,82.8,1.2,1027.4
22,12690,Lesko,2021-11-06,6,1.7,1,180,91.0,0,1030.3
23,12418,Leszno,2021-11-06,6,6,4,230,93.2,0.8,1025.8
24,12125,Lębork,2021-11-06,6,9.1,6,250,94.0,5.5,1017.1
25,12495,Lublin,2021-11-06,6,5,4,240,88.0,0.2,1026.1
26,12120,Łeba,2021-11-06,6,10.1,11,270,86.0,1.1,1016.5
27,12465,Łódź,2021-11-06,6,6,4,230,91.9,0.1,1025.5
28,12280,Mikołajki,2021-11-06,6,8,5,230,90.1,2,1018.4
29,12270,Mława,2021-11-06,6,7.3,6,250,90.1,0.5,1021
30,12660,"""Nowy Sącz""",2021-11-06,6,2.1,1,170,95.1,0.01,1029.9
31,12272,Olsztyn,2021-11-06,6,7.5,4,240,97.9,0.9,1019
32,12530,Opole,2021-11-06,6,5,1,220,86.2,0.01,1028.5
33,12285,Ostrołęka,2021-11-06,5,7.5,4,240,87.0,0,1020.3
34,12230,Piła,2021-11-06,6,7.7,2,220,90.8,0.4,1022.1
35,12001,Platforma,2021-11-06,6,8.5,16,260,79.5,0,1013.3
36,12360,Płock,2021-11-06,6,7.4,6,240,85.8,0.8,1022.5
37,12330,Poznań,2021-11-06,6,7,6,250,88.8,3.8,1024.1
38,12695,Przemyśl,2021-11-06,6,4.6,4,270,82.5,0,1028.9
39,12540,Racibórz,2021-11-06,6,2,2,150,93.0,0.01,1029.8
40,12210,Resko,2021-11-06,6,8.5,5,220,87.7,0.6,1021.1
41,12580,Rzeszów,2021-11-06,6,5.3,2,220,85.6,0,1028.4
42,12585,Sandomierz,2021-11-06,6,4.6,4,220,89.9,0,1027.6
43,12385,Siedlce,2021-11-06,6,7,5,240,84.0,0.01,1023
44,12310,Słubice,2021-11-06,6,7.7,4,230,84.0,0.7,1025
45,12469,Sulejów,2021-11-06,5,5.5,5,230,91.9,1.9,1025.9
46,12195,Suwałki,2021-11-06,6,6.6,5,240,95.2,2.1,1017
47,12205,Szczecin,2021-11-06,6,8.4,5,230,92.1,0.01,1022.2
48,12215,Szczecinek,2021-11-06,6,7.9,5,260,96.6,3.5,1020.6
49,12510,Śnieżka,2021-11-06,6,-3.1,17,290,100.0,1.6,
50,12200,Świnoujście,2021-11-06,6,9.3,4,240,87.8,0.01,1021
51,12575,Tarnów,2021-11-06,6,6.2,1,260,77.5,0,1028.8
52,12399,Terespol,2021-11-06,6,7,4,230,81.6,0.01,1023.1
53,12250,Toruń,2021-11-06,6,7.8,4,240,90.1,2.2,1021.8
54,12115,Ustka,2021-11-06,6,10.4,8,250,84.9,2.8,1017.4
55,12375,Warszawa,2021-11-06,6,7.7,4,240,80.0,0.6,1023.5
56,12455,Wieluń,2021-11-06,6,6.2,3,250,86.9,0.2,1027
57,12497,Włodawa,2021-11-06,6,5.8,5,240,85.6,0.01,1025
58,12424,Wrocław,2021-11-06,6,4.9,3,250,81.9,0.3,1027.5
59,12625,Zakopane,2021-11-06,6,-0.4,2,170,85.6,0,
60,12595,Zamość,2021-11-06,6,5,6,240,88.7,0,1026.9
61,12400,"""Zielona Góra""",2021-11-06,6,6.1,3,240,90.6,0.5,1026.1
